107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,30,92,73,0,13.24,1.95,98.60000000000002,0.0,0.0,92,543645070,222620307,2025-02-03 15:04:13+00:00
1,14,90,73,0,0.0,1.95,100.79999999999995,0.0,0.0,90,543646476,222622244,2025-02-03 15:04:14+00:00
1,14,90,73,0,0.0,16.08,105.60000000000002,8.566,0.0,90,543647743,222621404,2025-02-03 15:04:17+00:00
1,3,89,73,0,0.0,20.55,99.60000000000002,8.566,0.0,89,543649210,222622400,2025-02-03 15:04:19+00:00
1,4,88,73,83,8.57,27.27,98.0,7.66,0.5,88,543649712,222621773,2025-02-03 15:04:21+00:00
1,4,88,73,83,0.0,30.3,96.60000000000002,4.581,0.5,88,543649905,222621461,2025-02-03 15:04:22+00:00
1,8,91,73,86,0.0,38.64,95.0,3.518,0.5,91,543650300,222620360,2025-02-03 15:04:25+00:00
1,4,94,73,85,0.0,43.94,95.60000000000002,2.855,0.5,94,543650566,222619659,2025-02-03 15:04:27+00:00
1,4,95,73,85,0.0,45.75,95.60000000000002,2.855,0.5,95,543650657,222619390,2025-02-03 15:04:28+00:00
1,6,98,73,86,0.05,50.42,96.0,2.398,0.0,98,543650804,222618705,2025-02-03 15:04:30+00:00
1,6,102,73,86,0.05,52.78,95.79999999999995,2.398,0.0,102,543650952,222618395,2025-02-03 15:04:31+00:00
1,3,109,73,86,0.5,55.15,96.39999999999998,2.389,0.0,109,543651036,222618042,2025-02-03 15:04:32+00:00
1,3,111,73,86,0.05,58.09,96.39999999999998,2.389,0.0,111,543651141,222617653,2025-02-03 15:04:33+00:00
1,2,114,73,85,0.05,61.0,96.39999999999998,2.389,0.5,114,543651312,222617266,2025-02-03 15:04:34+00:00
1,3,117,73,83,1.65,66.15,96.39999999999998,2.566,0.5,117,543651552,222616528,2025-02-03 15:04:36+00:00
1,4,120,73,83,0.0,71.78,96.20000000000005,2.585,0.0,120,543651811,222615760,2025-02-03 15:04:38+00:00
1,8,123,73,83,0.05,81.74,95.60000000000002,2.631,0.5,123,543652209,222614364,2025-02-03 15:04:42+00:00
1,10,125,73,83,0.0,92.34,95.20000000000005,2.631,0.5,125,543652646,222612929,2025-02-03 15:04:46+00:00
1,10,128,73,83,0.0,98.71,95.0,2.529,0.5,128,543652869,222611959,2025-02-03 15:04:49+00:00
1,2,130,73,83,0.05,104.25,95.0,2.491,0.5,130,543653136,222611189,2025-02-03 15:04:51+00:00
1,0,133,73,85,0.0,111.24,95.20000000000005,2.482,0.0,133,543653441,222610248,2025-02-03 15:04:54+00:00
1,0,135,73,84,0.0,120.98,95.39999999999998,2.454,0.5,135,543653846,222608875,2025-02-03 15:04:58+00:00
1,1,136,73,85,0.0,133.41,95.39999999999998,2.379,0.0,136,543654379,222607117,2025-02-03 15:05:04+00:00
1,1,139,73,84,0.0,143.58,94.79999999999995,2.361,0.5,139,543654793,222605696,2025-02-03 15:05:08+00:00
1,0,140,73,84,0.06,145.46,94.60000000000002,2.361,0.5,140,543654868,222605433,2025-02-03 15:05:09+00:00
1,0,140,73,83,0.0,157.7,93.20000000000005,2.351,0.0,140,543655420,222603723,2025-02-03 15:05:14+00:00
1,1,141,73,84,0.0,169.08,93.0,2.361,0.0,141,543655938,222602149,2025-02-03 15:05:19+00:00
1,1,141,73,84,0.0,187.25,92.60000000000002,2.361,0.0,141,543656668,222599574,2025-02-03 15:05:26+00:00
1,1,142,73,87,0.0,202.22,93.0,2.379,0.0,142,543657256,222597515,2025-02-03 15:05:32+00:00
1,0,144,73,85,0.06,211.65,93.0,2.379,0.5,144,543657694,222596152,2025-02-03 15:05:36+00:00
1,0,146,73,84,0.05,223.88,93.20000000000005,2.398,0.0,146,543658218,222594481,2025-02-03 15:05:41+00:00
1,1,147,73,84,0.05,236.02,92.60000000000002,2.398,0.5,147,543658823,222592826,2025-02-03 15:05:46+00:00
1,0,148,73,84,0.0,248.62,92.79999999999995,2.407,0.5,148,543659352,222591081,2025-02-03 15:05:51+00:00
1,0,148,73,85,0.0,260.99,93.79999999999995,2.407,0.0,148,543659928,222589391,2025-02-03 15:05:56+00:00
1,1,149,73,84,0.0,270.13,93.60000000000002,2.417,0.5,149,543660352,222588087,2025-02-03 15:06:00+00:00
1,1,150,73,84,0.0,280.08,93.60000000000002,2.407,0.5,150,543660795,222586707,2025-02-03 15:06:04+00:00
1,1,152,73,85,0.0,292.55,93.79999999999995,2.407,0.0,152,543661259,222584868,2025-02-03 15:06:09+00:00
1,1,154,73,84,0.0,303.09,92.79999999999995,2.426,0.5,154,543661633,222583411,2025-02-03 15:06:13+00:00
1,1,155,73,85,0.0,313.03,92.60000000000002,2.445,0.5,155,543662022,222582044,2025-02-03 15:06:17+00:00
1,1,155,73,87,0.0,325.18,92.20000000000005,2.445,0.0,155,543662547,222580313,2025-02-03 15:06:22+00:00
1,1,155,73,85,0.0,333.98,91.39999999999998,2.445,0.5,155,543662931,222579095,2025-02-03 15:06:26+00:00
1,1,156,73,85,0.0,343.3,91.20000000000005,2.426,0.5,156,543663291,222577775,2025-02-03 15:06:30+00:00
1,1,155,73,84,0.0,353.5,90.79999999999995,2.426,0.0,155,543663667,222576317,2025-02-03 15:06:34+00:00
1,1,156,73,84,0.0,366.51,91.39999999999998,2.454,0.5,156,543664279,222574572,2025-02-03 15:06:39+00:00
1,1,156,73,84,0.0,378.66,92.0,2.445,0.0,156,543664923,222572901,2025-02-03 15:06:44+00:00
1,1,157,73,86,0.0,386.14,91.39999999999998,2.463,0.0,157,543665265,222571872,2025-02-03 15:06:47+00:00
1,1,155,73,85,0.0,397.37,90.0,2.445,0.5,155,543665774,222570304,2025-02-03 15:06:52+00:00
1,1,155,73,84,0.0,412.59,90.0,2.454,0.5,155,543666526,222568279,2025-02-03 15:06:58+00:00
1,1,156,73,86,0.0,425.44,90.39999999999998,2.445,0.0,156,543667145,222566565,2025-02-03 15:07:03+00:00
1,0,156,73,86,0.0,432.36,90.39999999999998,2.454,0.0,156,543667504,222565540,2025-02-03 15:07:06+00:00
1,1,155,73,86,0.0,444.64,89.60000000000002,2.445,0.0,155,543668179,222563934,2025-02-03 15:07:11+00:00
1,1,155,73,86,0.0,452.35,89.0,2.454,0.0,155,543668629,222562991,2025-02-03 15:07:14+00:00
1,1,156,73,87,0.0,465.62,89.0,2.463,0.0,156,543669508,222561386,2025-02-03 15:07:19+00:00
1,1,157,73,85,0.0,475.55,88.39999999999998,2.482,0.5,157,543670155,222560188,2025-02-03 15:07:23+00:00
1,1,157,73,85,0.0,485.48,88.20000000000005,2.482,0.5,157,543670775,222558934,2025-02-03 15:07:27+00:00
1,1,157,73,87,0.0,497.41,87.20000000000005,2.482,0.0,157,543671488,222557475,2025-02-03 15:07:32+00:00
1,1,156,73,86,0.0,506.51,87.60000000000002,2.463,0.0,156,543672050,222556302,2025-02-03 15:07:36+00:00
