133,135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
,15,61,71,17.0,17.17,61,2025-02-14 13:07:09+00:00
,15,61,71,17.0,17.17,61,2025-02-14 13:07:10+00:00
,22,62,71,17.0,17.17,62,2025-02-14 13:07:11+00:00
,22,62,71,17.0,17.17,62,2025-02-14 13:07:12+00:00
,22,62,71,17.0,17.17,62,2025-02-14 13:07:13+00:00
,22,62,71,17.0,17.07,62,2025-02-14 13:07:14+00:00
,22,62,71,17.0,17.07,62,2025-02-14 13:07:15+00:00
,31,63,71,17.0,17.07,63,2025-02-14 13:07:16+00:00
,31,63,71,17.0,17.07,63,2025-02-14 13:07:17+00:00
,31,63,71,17.0,16.97,63,2025-02-14 13:07:18+00:00
,31,63,71,17.0,16.97,63,2025-02-14 13:07:19+00:00
,31,63,71,17.0,16.97,63,2025-02-14 13:07:20+00:00
,31,63,71,15.0,16.97,63,2025-02-14 13:07:21+00:00
,31,63,71,15.0,16.97,63,2025-02-14 13:07:22+00:00
,31,63,71,15.0,16.97,63,2025-02-14 13:07:23+00:00
,6,62,71,15.0,16.65,62,2025-02-14 13:07:24+00:00
95,1,60,71,15.0,16.65,60,2025-02-14 13:07:25+00:00
95,1,60,71,13.0,16.65,60,2025-02-14 13:07:26+00:00
97,1,60,71,13.0,16.69,60,2025-02-14 13:07:27+00:00
97,2,61,71,13.0,16.69,61,2025-02-14 13:07:28+00:00
98,2,60,71,13.0,16.69,60,2025-02-14 13:07:29+00:00
98,2,60,71,13.0,16.78,60,2025-02-14 13:07:30+00:00
98,2,59,71,11.0,16.78,59,2025-02-14 13:07:31+00:00
98,2,59,71,11.0,16.78,59,2025-02-14 13:07:32+00:00
99,2,59,71,11.0,16.78,59,2025-02-14 13:07:33+00:00
99,2,59,71,11.0,16.71,59,2025-02-14 13:07:34+00:00
100,2,59,71,11.0,16.71,59,2025-02-14 13:07:35+00:00
100,2,59,71,8.0,16.71,59,2025-02-14 13:07:36+00:00
100,1,58,71,8.0,16.71,58,2025-02-14 13:07:37+00:00
100,1,59,71,8.0,16.71,59,2025-02-14 13:07:38+00:00
100,1,59,71,8.0,16.56,59,2025-02-14 13:07:39+00:00
100,1,59,71,8.0,16.56,59,2025-02-14 13:07:40+00:00
100,1,58,71,6.0,16.56,58,2025-02-14 13:07:41+00:00
100,1,59,71,6.0,16.56,59,2025-02-14 13:07:42+00:00
100,1,58,71,6.0,16.56,58,2025-02-14 13:07:43+00:00
100,1,58,71,6.0,16.32,58,2025-02-14 13:07:44+00:00
99,1,58,71,6.0,16.32,58,2025-02-14 13:07:45+00:00
99,2,57,71,4.0,16.32,57,2025-02-14 13:07:46+00:00
99,2,58,71,4.0,16.32,58,2025-02-14 13:07:47+00:00
99,2,58,71,4.0,16.14,58,2025-02-14 13:07:48+00:00
99,2,59,71,4.0,16.14,59,2025-02-14 13:07:49+00:00
99,2,59,71,4.0,16.14,59,2025-02-14 13:07:50+00:00
99,1,60,71,4.0,16.14,60,2025-02-14 13:07:51+00:00
99,1,61,71,4.0,16.14,61,2025-02-14 13:07:52+00:00
99,1,61,71,4.0,15.98,61,2025-02-14 13:07:53+00:00
99,1,60,71,4.0,15.98,60,2025-02-14 13:07:54+00:00
99,1,60,71,4.0,15.98,60,2025-02-14 13:07:55+00:00
99,1,60,71,4.0,15.94,60,2025-02-14 13:07:56+00:00
99,1,60,71,4.0,15.94,60,2025-02-14 13:07:57+00:00
99,1,60,71,4.0,15.94,60,2025-02-14 13:07:58+00:00
99,1,60,71,4.0,15.94,60,2025-02-14 13:07:59+00:00
99,1,60,71,4.0,15.93,60,2025-02-14 13:08:00+00:00
99,1,60,71,5.0,15.93,60,2025-02-14 13:08:01+00:00
99,0,61,71,5.0,15.93,61,2025-02-14 13:08:02+00:00
99,0,60,71,5.0,15.93,60,2025-02-14 13:08:03+00:00
99,0,60,71,5.0,15.93,60,2025-02-14 13:08:04+00:00
99,0,60,71,5.0,15.64,60,2025-02-14 13:08:05+00:00
99,0,60,71,6.0,15.64,60,2025-02-14 13:08:06+00:00
99,0,61,71,6.0,15.64,61,2025-02-14 13:08:07+00:00
99,0,60,71,6.0,15.64,60,2025-02-14 13:08:08+00:00
99,0,60,71,6.0,15.64,60,2025-02-14 13:08:09+00:00
99,0,60,71,6.0,15.57,60,2025-02-14 13:08:10+00:00
99,0,60,71,6.0,15.57,60,2025-02-14 13:08:11+00:00
99,1,61,71,6.0,15.57,61,2025-02-14 13:08:12+00:00
99,1,61,71,6.0,15.57,61,2025-02-14 13:08:13+00:00
99,1,61,71,6.0,15.5,61,2025-02-14 13:08:14+00:00
99,1,62,71,6.0,15.5,62,2025-02-14 13:08:15+00:00
99,1,62,71,7.0,15.5,62,2025-02-14 13:08:16+00:00
99,1,62,71,7.0,15.64,62,2025-02-14 13:08:17+00:00
99,1,62,71,7.0,15.64,62,2025-02-14 13:08:18+00:00
99,1,62,71,7.0,15.64,62,2025-02-14 13:08:19+00:00
99,1,63,71,7.0,15.64,63,2025-02-14 13:08:20+00:00
99,1,63,71,7.0,15.91,63,2025-02-14 13:08:21+00:00
99,1,63,71,7.0,15.91,63,2025-02-14 13:08:22+00:00
99,1,63,71,7.0,15.91,63,2025-02-14 13:08:23+00:00
99,1,63,71,7.0,16.15,63,2025-02-14 13:08:24+00:00
99,1,63,71,7.0,16.15,63,2025-02-14 13:08:25+00:00
99,1,63,71,8.0,16.15,63,2025-02-14 13:08:26+00:00
99,1,64,71,8.0,16.15,64,2025-02-14 13:08:27+00:00
99,1,63,71,8.0,16.02,63,2025-02-14 13:08:28+00:00
99,1,63,71,8.0,16.02,63,2025-02-14 13:08:29+00:00
99,1,63,71,8.0,16.02,63,2025-02-14 13:08:30+00:00
99,1,63,71,8.0,16.02,63,2025-02-14 13:08:31+00:00
99,1,64,71,8.0,15.9,64,2025-02-14 13:08:32+00:00
99,1,63,71,8.0,15.9,63,2025-02-14 13:08:33+00:00
99,1,63,71,8.0,15.9,63,2025-02-14 13:08:34+00:00
99,1,63,71,8.0,15.9,63,2025-02-14 13:08:35+00:00
99,1,63,71,9.0,15.9,63,2025-02-14 13:08:36+00:00
99,1,64,71,9.0,15.73,64,2025-02-14 13:08:37+00:00
99,1,63,71,9.0,15.73,63,2025-02-14 13:08:38+00:00
99,1,63,71,9.0,15.73,63,2025-02-14 13:08:39+00:00
99,1,63,71,9.0,15.73,63,2025-02-14 13:08:40+00:00
99,1,64,71,10.0,15.73,64,2025-02-14 13:08:41+00:00
99,1,64,71,10.0,15.35,64,2025-02-14 13:08:42+00:00
98,1,64,71,10.0,15.35,64,2025-02-14 13:08:43+00:00
98,2,65,71,10.0,15.35,65,2025-02-14 13:08:44+00:00
98,1,64,71,10.0,15.44,64,2025-02-14 13:08:45+00:00
98,1,63,71,11.0,15.44,63,2025-02-14 13:08:46+00:00
99,1,63,71,11.0,15.44,63,2025-02-14 13:08:47+00:00
99,1,63,71,11.0,15.64,63,2025-02-14 13:08:48+00:00
99,1,63,71,11.0,15.64,63,2025-02-14 13:08:49+00:00
99,1,63,71,11.0,15.64,63,2025-02-14 13:08:50+00:00
99,0,64,71,12.0,15.64,64,2025-02-14 13:08:51+00:00
99,0,64,71,12.0,15.75,64,2025-02-14 13:08:52+00:00
99,0,65,71,12.0,15.75,65,2025-02-14 13:08:53+00:00
99,0,65,71,12.0,15.75,65,2025-02-14 13:08:54+00:00
99,0,64,71,12.0,15.75,64,2025-02-14 13:08:55+00:00
99,0,64,71,12.0,15.68,64,2025-02-14 13:08:56+00:00
99,0,63,71,12.0,15.68,63,2025-02-14 13:08:57+00:00
99,0,63,71,12.0,15.68,63,2025-02-14 13:08:58+00:00
99,0,63,71,12.0,15.68,63,2025-02-14 13:08:59+00:00
99,0,63,71,12.0,15.68,63,2025-02-14 13:09:00+00:00
99,0,64,71,12.0,15.68,64,2025-02-14 13:09:01+00:00
99,0,63,71,12.0,15.26,63,2025-02-14 13:09:02+00:00
99,0,63,71,12.0,15.26,63,2025-02-14 13:09:03+00:00
99,0,63,71,12.0,15.26,63,2025-02-14 13:09:04+00:00
99,0,63,71,12.0,15.26,63,2025-02-14 13:09:05+00:00
99,0,63,71,11.0,15.26,63,2025-02-14 13:09:06+00:00
99,0,62,71,11.0,15.24,62,2025-02-14 13:09:07+00:00
99,0,62,71,11.0,15.24,62,2025-02-14 13:09:08+00:00
99,0,62,71,11.0,12.83,62,2025-02-14 13:09:09+00:00
