133,135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
,14,71,78,18.0,15.89,71,2025-02-19 12:45:31+00:00
,19,72,78,18.0,15.69,72,2025-02-19 12:45:32+00:00
,19,72,78,18.0,15.69,72,2025-02-19 12:45:33+00:00
,19,72,78,18.0,15.69,72,2025-02-19 12:45:34+00:00
,24,73,78,17.0,15.69,73,2025-02-19 12:45:35+00:00
,24,73,78,17.0,15.59,73,2025-02-19 12:45:36+00:00
,24,73,78,17.0,15.59,73,2025-02-19 12:45:37+00:00
,26,74,78,17.0,15.59,74,2025-02-19 12:45:38+00:00
,26,74,78,17.0,15.59,74,2025-02-19 12:45:39+00:00
,26,74,78,17.0,15.59,74,2025-02-19 12:45:40+00:00
,26,74,78,17.0,15.38,74,2025-02-19 12:45:41+00:00
,11,73,78,17.0,15.38,73,2025-02-19 12:45:42+00:00
,8,72,78,17.0,15.38,72,2025-02-19 12:45:43+00:00
,7,71,78,17.0,15.38,71,2025-02-19 12:45:44+00:00
,7,70,78,17.0,15.38,70,2025-02-19 12:45:45+00:00
,1,67,78,17.0,15.38,67,2025-02-19 12:45:46+00:00
,1,66,78,17.0,15.14,66,2025-02-19 12:45:47+00:00
,1,66,78,17.0,15.14,66,2025-02-19 12:45:48+00:00
95,1,66,78,17.0,15.14,66,2025-02-19 12:45:49+00:00
95,1,66,78,15.0,15.14,66,2025-02-19 12:45:50+00:00
95,1,66,78,15.0,15.28,66,2025-02-19 12:45:51+00:00
95,1,65,78,15.0,15.28,65,2025-02-19 12:45:52+00:00
95,1,65,78,15.0,15.28,65,2025-02-19 12:45:53+00:00
95,1,65,78,15.0,15.28,65,2025-02-19 12:45:54+00:00
95,1,65,78,14.0,15.36,65,2025-02-19 12:45:55+00:00
95,1,65,78,14.0,15.36,65,2025-02-19 12:45:56+00:00
95,1,64,78,14.0,15.36,64,2025-02-19 12:45:57+00:00
95,1,63,78,14.0,15.34,63,2025-02-19 12:45:58+00:00
95,1,63,78,14.0,15.34,63,2025-02-19 12:45:59+00:00
95,1,63,78,12.0,15.34,63,2025-02-19 12:46:00+00:00
95,1,63,78,12.0,15.34,63,2025-02-19 12:46:01+00:00
95,2,64,78,12.0,15.34,64,2025-02-19 12:46:02+00:00
95,2,63,78,12.0,15.26,63,2025-02-19 12:46:03+00:00
95,2,63,78,12.0,15.26,63,2025-02-19 12:46:04+00:00
95,1,62,78,12.0,15.26,62,2025-02-19 12:46:05+00:00
95,1,62,78,12.0,15.26,62,2025-02-19 12:46:06+00:00
95,1,62,78,12.0,15.26,62,2025-02-19 12:46:07+00:00
95,1,62,78,12.0,15.09,62,2025-02-19 12:46:08+00:00
95,1,62,78,12.0,15.09,62,2025-02-19 12:46:09+00:00
95,1,62,78,10.0,15.09,62,2025-02-19 12:46:10+00:00
95,1,62,78,10.0,15.09,62,2025-02-19 12:46:11+00:00
95,1,61,78,10.0,15.04,61,2025-02-19 12:46:12+00:00
95,1,62,78,10.0,15.04,62,2025-02-19 12:46:13+00:00
94,1,62,78,10.0,15.04,62,2025-02-19 12:46:14+00:00
94,1,62,78,8.0,15.04,62,2025-02-19 12:46:15+00:00
93,1,61,78,8.0,15.04,61,2025-02-19 12:46:16+00:00
93,1,62,78,8.0,14.97,62,2025-02-19 12:46:17+00:00
93,1,62,78,8.0,14.97,62,2025-02-19 12:46:18+00:00
93,1,62,78,8.0,14.97,62,2025-02-19 12:46:19+00:00
93,1,61,78,8.0,14.97,61,2025-02-19 12:46:20+00:00
92,1,61,78,8.0,14.97,61,2025-02-19 12:46:21+00:00
92,1,60,78,8.0,14.79,60,2025-02-19 12:46:22+00:00
91,1,60,78,8.0,14.79,60,2025-02-19 12:46:23+00:00
