135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
14,50,83,4.0,14.0,50,2025-04-29 09:24:44+00:00
14,50,83,6.0,13.0,50,2025-04-29 09:24:45+00:00
14,50,83,6.0,13.0,50,2025-04-29 09:24:46+00:00
24,51,83,6.0,13.0,51,2025-04-29 09:24:47+00:00
24,51,83,6.0,13.0,51,2025-04-29 09:24:48+00:00
24,51,83,6.0,13.0,51,2025-04-29 09:24:49+00:00
29,52,83,7.0,13.0,52,2025-04-29 09:24:50+00:00
29,52,83,7.0,13.0,52,2025-04-29 09:24:51+00:00
29,52,83,7.0,13.0,52,2025-04-29 09:24:52+00:00
29,52,83,7.0,13.0,52,2025-04-29 09:24:53+00:00
29,52,83,7.0,13.0,52,2025-04-29 09:24:54+00:00
20,51,83,8.0,13.0,51,2025-04-29 09:24:55+00:00
20,51,83,8.0,13.0,51,2025-04-29 09:24:56+00:00
20,51,83,8.0,13.0,51,2025-04-29 09:24:57+00:00
20,51,83,8.0,12.0,51,2025-04-29 09:24:58+00:00
8,52,83,8.0,12.0,52,2025-04-29 09:24:59+00:00
8,51,83,8.0,12.0,51,2025-04-29 09:25:00+00:00
8,51,83,8.0,12.0,51,2025-04-29 09:25:01+00:00
4,50,83,8.0,12.0,50,2025-04-29 09:25:02+00:00
3,49,83,8.0,12.0,49,2025-04-29 09:25:03+00:00
3,49,83,8.0,12.0,49,2025-04-29 09:25:04+00:00
2,48,83,9.0,12.0,48,2025-04-29 09:25:05+00:00
2,48,83,9.0,12.0,48,2025-04-29 09:25:06+00:00
2,47,83,9.0,12.0,47,2025-04-29 09:25:07+00:00
2,47,83,9.0,12.0,47,2025-04-29 09:25:08+00:00
2,47,83,9.0,13.0,47,2025-04-29 09:25:09+00:00
2,47,83,9.0,13.0,47,2025-04-29 09:25:10+00:00
2,47,83,9.0,13.0,47,2025-04-29 09:25:11+00:00
2,46,83,9.0,13.0,46,2025-04-29 09:25:12+00:00
2,46,83,9.0,13.0,46,2025-04-29 09:25:13+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:14+00:00
1,45,83,8.0,13.0,45,2025-04-29 09:25:15+00:00
1,45,83,8.0,13.0,45,2025-04-29 09:25:16+00:00
1,45,83,8.0,13.0,45,2025-04-29 09:25:17+00:00
1,45,83,8.0,13.0,45,2025-04-29 09:25:18+00:00
2,46,83,8.0,13.0,46,2025-04-29 09:25:19+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:20+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:21+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:22+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:23+00:00
1,46,83,9.0,13.0,46,2025-04-29 09:25:24+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:25+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:26+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:27+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:28+00:00
1,45,83,9.0,13.0,45,2025-04-29 09:25:29+00:00
1,46,83,8.0,13.0,46,2025-04-29 09:25:30+00:00
1,46,83,8.0,13.0,46,2025-04-29 09:25:31+00:00
1,46,83,8.0,13.0,46,2025-04-29 09:25:32+00:00
1,47,83,8.0,13.0,47,2025-04-29 09:25:33+00:00
1,47,83,8.0,13.0,47,2025-04-29 09:25:34+00:00
1,47,83,7.0,13.0,47,2025-04-29 09:25:35+00:00
1,46,83,7.0,13.0,46,2025-04-29 09:25:36+00:00
1,47,83,7.0,13.0,47,2025-04-29 09:25:37+00:00
1,47,83,7.0,13.0,47,2025-04-29 09:25:38+00:00
1,47,83,7.0,13.0,47,2025-04-29 09:25:39+00:00
1,46,83,5.0,13.0,46,2025-04-29 09:25:40+00:00
1,47,83,5.0,13.0,47,2025-04-29 09:25:41+00:00
1,47,83,5.0,13.0,47,2025-04-29 09:25:42+00:00
1,47,83,5.0,13.0,47,2025-04-29 09:25:43+00:00
