135,136,143,cadence,cycle_length16,distance,enhanced_speed,fractional_cadence,heart_rate,timestamp
3,90,63,0,0.0,0.0,0.0,0.0,90,2025-06-02 14:57:42+00:00
1,93,63,0,0.0,0.0,0.0,0.0,93,2025-06-02 14:57:51+00:00
0,96,63,0,0.0,0.0,0.0,0.0,96,2025-06-02 14:57:57+00:00
1,93,63,0,0.0,0.0,0.0,0.0,93,2025-06-02 14:58:04+00:00
1,90,63,0,0.0,0.0,0.0,0.0,90,2025-06-02 14:58:13+00:00
2,87,63,0,0.0,0.0,0.0,0.0,87,2025-06-02 14:58:23+00:00
2,90,63,0,0.0,0.0,0.0,0.0,90,2025-06-02 14:58:43+00:00
2,93,63,0,0.0,0.0,0.0,0.0,93,2025-06-02 14:59:09+00:00
0,90,63,0,0.0,0.0,0.0,0.0,90,2025-06-02 14:59:19+00:00
2,93,63,0,0.0,0.0,0.0,0.0,93,2025-06-02 14:59:44+00:00
1,96,62,0,0.0,0.0,0.0,0.0,96,2025-06-02 15:01:49+00:00
2,93,62,0,0.0,0.0,0.0,0.0,93,2025-06-02 15:02:05+00:00
2,90,62,0,0.0,0.0,0.0,0.0,90,2025-06-02 15:02:09+00:00
1,94,62,0,0.0,0.0,0.0,0.0,94,2025-06-02 15:02:41+00:00
1,97,62,0,0.0,0.0,0.0,0.0,97,2025-06-02 15:02:43+00:00
2,94,62,0,0.0,0.0,0.0,0.0,94,2025-06-02 15:03:08+00:00
2,91,62,0,0.0,0.0,0.0,0.0,91,2025-06-02 15:03:23+00:00
0,94,62,0,0.0,0.0,0.0,0.0,94,2025-06-02 15:03:43+00:00
0,97,62,0,0.0,0.0,0.0,0.0,97,2025-06-02 15:03:57+00:00
2,94,62,0,0.0,0.0,0.0,0.0,94,2025-06-02 15:04:06+00:00
1,91,62,0,0.0,0.0,0.0,0.0,91,2025-06-02 15:04:13+00:00
1,94,62,0,0.0,0.0,0.0,0.0,94,2025-06-02 15:04:46+00:00
2,97,62,0,0.0,0.0,0.0,0.0,97,2025-06-02 15:05:01+00:00
2,94,62,0,0.0,0.0,0.0,0.0,94,2025-06-02 15:05:18+00:00
2,91,62,0,0.0,0.0,0.0,0.0,91,2025-06-02 15:05:30+00:00
1,94,62,0,0.0,0.0,0.0,0.0,94,2025-06-02 15:05:41+00:00
