135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
20,57,80,14.0,16.0,57,2025-06-10 09:01:13+00:00
26,56,80,14.0,16.0,56,2025-06-10 09:01:14+00:00
28,57,80,14.0,16.0,57,2025-06-10 09:01:15+00:00
29,58,80,14.0,16.0,58,2025-06-10 09:01:16+00:00
29,59,80,14.0,16.0,59,2025-06-10 09:01:17+00:00
27,60,80,14.0,16.0,60,2025-06-10 09:01:18+00:00
27,60,80,14.0,15.0,60,2025-06-10 09:01:19+00:00
27,60,80,15.0,15.0,60,2025-06-10 09:01:20+00:00
36,61,80,15.0,15.0,61,2025-06-10 09:01:21+00:00
39,62,80,15.0,14.0,62,2025-06-10 09:01:22+00:00
42,63,80,15.0,14.0,63,2025-06-10 09:01:23+00:00
42,64,80,15.0,14.0,64,2025-06-10 09:01:24+00:00
40,66,80,16.0,13.0,66,2025-06-10 09:01:25+00:00
40,66,80,16.0,13.0,66,2025-06-10 09:01:26+00:00
41,67,80,16.0,13.0,67,2025-06-10 09:01:27+00:00
41,67,80,16.0,13.0,67,2025-06-10 09:01:28+00:00
46,68,80,16.0,13.0,68,2025-06-10 09:01:29+00:00
42,69,80,17.0,13.0,69,2025-06-10 09:01:30+00:00
42,69,80,17.0,13.0,69,2025-06-10 09:01:31+00:00
42,69,80,17.0,13.0,69,2025-06-10 09:01:32+00:00
58,70,80,17.0,13.0,70,2025-06-10 09:01:33+00:00
58,70,80,17.0,13.0,70,2025-06-10 09:01:34+00:00
58,70,80,17.0,13.0,70,2025-06-10 09:01:35+00:00
58,70,80,17.0,13.0,70,2025-06-10 09:01:36+00:00
56,71,80,17.0,14.0,71,2025-06-10 09:01:37+00:00
56,71,80,17.0,14.0,71,2025-06-10 09:01:38+00:00
56,71,80,17.0,14.0,71,2025-06-10 09:01:39+00:00
56,71,80,21.0,14.0,71,2025-06-10 09:01:40+00:00
33,68,80,21.0,14.0,68,2025-06-10 09:01:41+00:00
29,65,80,21.0,14.0,65,2025-06-10 09:01:42+00:00
16,59,80,21.0,14.0,59,2025-06-10 09:01:43+00:00
10,56,80,21.0,14.0,56,2025-06-10 09:01:44+00:00
4,55,80,22.0,14.0,55,2025-06-10 09:01:45+00:00
4,55,80,22.0,14.0,55,2025-06-10 09:01:46+00:00
4,55,80,22.0,14.0,55,2025-06-10 09:01:47+00:00
4,55,80,22.0,14.0,55,2025-06-10 09:01:48+00:00
4,55,80,22.0,14.0,55,2025-06-10 09:01:49+00:00
4,55,80,23.0,14.0,55,2025-06-10 09:01:50+00:00
2,56,80,23.0,14.0,56,2025-06-10 09:01:51+00:00
4,57,80,23.0,14.0,57,2025-06-10 09:01:52+00:00
5,58,80,23.0,14.0,58,2025-06-10 09:01:53+00:00
5,59,80,23.0,14.0,59,2025-06-10 09:01:54+00:00
5,59,80,23.0,14.0,59,2025-06-10 09:01:55+00:00
5,59,80,23.0,14.0,59,2025-06-10 09:01:56+00:00
5,58,80,23.0,14.0,58,2025-06-10 09:01:57+00:00
3,56,80,23.0,14.0,56,2025-06-10 09:01:58+00:00
0,54,80,23.0,14.0,54,2025-06-10 09:01:59+00:00
0,53,78,22.0,14.0,53,2025-06-10 09:02:00+00:00
0,53,78,22.0,14.0,53,2025-06-10 09:02:01+00:00
0,53,78,22.0,14.0,53,2025-06-10 09:02:02+00:00
0,53,78,22.0,13.0,53,2025-06-10 09:02:03+00:00
0,53,78,22.0,13.0,53,2025-06-10 09:02:04+00:00
0,52,78,20.0,13.0,52,2025-06-10 09:02:05+00:00
0,52,78,20.0,13.0,52,2025-06-10 09:02:06+00:00
0,52,78,20.0,13.0,52,2025-06-10 09:02:07+00:00
0,52,78,20.0,13.0,52,2025-06-10 09:02:08+00:00
1,51,78,20.0,13.0,51,2025-06-10 09:02:09+00:00
1,52,78,17.0,13.0,52,2025-06-10 09:02:10+00:00
1,52,78,17.0,13.0,52,2025-06-10 09:02:11+00:00
1,53,78,17.0,13.0,53,2025-06-10 09:02:12+00:00
1,53,78,17.0,13.0,53,2025-06-10 09:02:13+00:00
1,53,78,17.0,13.0,53,2025-06-10 09:02:14+00:00
2,52,78,14.0,13.0,52,2025-06-10 09:02:15+00:00
1,53,78,14.0,13.0,53,2025-06-10 09:02:16+00:00
1,53,78,14.0,13.0,53,2025-06-10 09:02:17+00:00
1,52,78,14.0,13.0,52,2025-06-10 09:02:18+00:00
1,52,78,14.0,13.0,52,2025-06-10 09:02:19+00:00
1,51,78,11.0,13.0,51,2025-06-10 09:02:20+00:00
1,51,78,11.0,13.0,51,2025-06-10 09:02:21+00:00
1,51,78,11.0,13.0,51,2025-06-10 09:02:22+00:00
1,51,78,11.0,13.0,51,2025-06-10 09:02:23+00:00
1,51,78,11.0,13.0,51,2025-06-10 09:02:24+00:00
1,51,78,8.0,13.0,51,2025-06-10 09:02:25+00:00
1,52,78,8.0,13.0,52,2025-06-10 09:02:26+00:00
1,51,78,8.0,13.0,51,2025-06-10 09:02:27+00:00
1,51,78,8.0,13.0,51,2025-06-10 09:02:28+00:00
1,52,78,8.0,13.0,52,2025-06-10 09:02:29+00:00
2,51,78,7.0,13.0,51,2025-06-10 09:02:30+00:00
2,51,78,7.0,13.0,51,2025-06-10 09:02:31+00:00
2,50,78,7.0,13.0,50,2025-06-10 09:02:32+00:00
2,51,78,7.0,13.0,51,2025-06-10 09:02:33+00:00
2,51,78,7.0,13.0,51,2025-06-10 09:02:34+00:00
2,51,78,8.0,13.0,51,2025-06-10 09:02:35+00:00
2,51,78,8.0,14.0,51,2025-06-10 09:02:36+00:00
2,51,78,8.0,14.0,51,2025-06-10 09:02:37+00:00
0,54,78,8.0,14.0,54,2025-06-10 09:02:38+00:00
0,54,78,8.0,14.0,54,2025-06-10 09:02:39+00:00
0,53,78,8.0,14.0,53,2025-06-10 09:02:40+00:00
0,53,78,8.0,14.0,53,2025-06-10 09:02:41+00:00
0,52,78,8.0,14.0,52,2025-06-10 09:02:42+00:00
0,52,78,8.0,14.0,52,2025-06-10 09:02:43+00:00
0,51,78,8.0,14.0,51,2025-06-10 09:02:44+00:00
0,51,78,6.0,14.0,51,2025-06-10 09:02:45+00:00
0,50,78,6.0,14.0,50,2025-06-10 09:02:46+00:00
0,49,78,6.0,14.0,49,2025-06-10 09:02:47+00:00
0,49,78,6.0,14.0,49,2025-06-10 09:02:48+00:00
0,48,78,6.0,14.0,48,2025-06-10 09:02:49+00:00
0,48,78,6.0,14.0,48,2025-06-10 09:02:50+00:00
0,48,78,6.0,14.0,48,2025-06-10 09:02:51+00:00
0,48,78,6.0,14.0,48,2025-06-10 09:02:52+00:00
