107,135,136,143,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,timestamp
0,2,87,58,2.31,91.0,2.202,87,543602551,222663990,2025-06-19 13:52:17+00:00
1,2,88,58,5.49,88.20000000000005,2.361,88,543602644,222664486,2025-06-19 13:52:18+00:00
1,1,88,58,19.93,89.79999999999995,1.95,88,543602818,222666641,2025-06-19 13:52:23+00:00
1,1,87,58,33.44,92.39999999999998,1.857,87,543602900,222668580,2025-06-19 13:52:29+00:00
1,2,85,58,44.07,93.79999999999995,2.734,85,543603262,222670166,2025-06-19 13:52:34+00:00
1,2,85,58,46.39,93.60000000000002,2.594,85,543603513,222670300,2025-06-19 13:52:35+00:00
1,2,85,58,48.66,93.0,2.734,85,543603797,222670229,2025-06-19 13:52:36+00:00
1,1,85,58,58.5,93.60000000000002,3.34,85,543604811,222670011,2025-06-19 13:52:39+00:00
1,1,82,58,72.04,94.39999999999998,3.732,82,543606279,222670026,2025-06-19 13:52:43+00:00
1,1,81,58,75.46,95.0,3.452,81,543606633,222670082,2025-06-19 13:52:44+00:00
1,4,78,58,84.28,95.20000000000005,3.098,78,543607610,222669899,2025-06-19 13:52:47+00:00
1,11,77,58,91.12,95.60000000000002,3.452,77,543608332,222669711,2025-06-19 13:52:49+00:00
1,20,76,58,119.54,93.60000000000002,5.682,76,543611342,222668935,2025-06-19 13:52:55+00:00
1,23,73,58,138.12,92.0,6.149,73,543613278,222668271,2025-06-19 13:52:58+00:00
1,23,73,58,157.55,91.0,6.476,73,543615290,222667464,2025-06-19 13:53:01+00:00
1,29,69,58,177.42,90.20000000000005,6.42,69,543617348,222666706,2025-06-19 13:53:04+00:00
1,25,66,58,195.17,90.60000000000002,5.673,66,543619211,222665940,2025-06-19 13:53:07+00:00
1,21,64,58,200.72,90.60000000000002,5.328,64,543619779,222665650,2025-06-19 13:53:08+00:00
1,18,63,58,206.07,90.79999999999995,5.029,63,543620322,222665475,2025-06-19 13:53:09+00:00
1,8,60,58,216.27,90.39999999999998,5.197,60,543621395,222665781,2025-06-19 13:53:11+00:00
1,4,58,58,221.33,90.39999999999998,5.179,58,543621888,222666155,2025-06-19 13:53:12+00:00
1,9,61,58,252.46,89.20000000000005,4.889,61,543624485,222669118,2025-06-19 13:53:18+00:00
