107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,15,82,33,59,13.94,1.5,85.20000000000005,1.138,0.0,82,543622757,222662921,2025-06-21 17:34:07+00:00
1,15,82,33,59,36.83,4.34,84.79999999999995,1.241,0.0,82,543623026,222662573,2025-06-21 17:34:08+00:00
1,24,83,33,80,32.84,12.46,84.60000000000002,2.491,0.5,83,543623643,222661725,2025-06-21 17:34:11+00:00
1,28,84,33,83,0.0,20.96,85.0,2.967,0.5,84,543624245,222660844,2025-06-21 17:34:14+00:00
1,33,87,33,83,0.0,28.75,85.39999999999998,2.837,0.5,87,543624827,222660034,2025-06-21 17:34:17+00:00
1,33,87,33,83,0.0,31.8,85.20000000000005,2.762,0.5,87,543625106,222659669,2025-06-21 17:34:18+00:00
1,38,91,33,84,0.0,40.34,85.79999999999995,2.809,0.5,91,543625838,222658917,2025-06-21 17:34:21+00:00
1,38,94,33,84,0.0,42.66,85.79999999999995,2.818,0.5,94,543625948,222658683,2025-06-21 17:34:22+00:00
1,38,98,33,84,0.0,49.03,86.0,2.846,0.5,98,543626488,222658038,2025-06-21 17:34:24+00:00
1,38,101,33,84,0.0,52.31,86.0,2.865,0.5,101,543626753,222657661,2025-06-21 17:34:25+00:00
1,38,105,33,85,0.0,57.57,86.0,2.93,0.0,105,543627115,222657131,2025-06-21 17:34:27+00:00
1,33,109,33,86,0.0,63.11,86.20000000000005,2.911,0.0,109,543627522,222656544,2025-06-21 17:34:29+00:00
1,22,113,33,86,0.0,66.39,86.20000000000005,2.893,0.0,113,543627862,222656256,2025-06-21 17:34:30+00:00
1,17,117,33,85,0.0,71.66,86.0,2.893,0.5,117,543628277,222655786,2025-06-21 17:34:32+00:00
1,9,121,33,85,0.0,76.52,85.60000000000002,2.874,0.0,121,543628680,222655370,2025-06-21 17:34:34+00:00
1,9,122,33,85,0.0,79.69,85.0,2.846,0.0,122,543629034,222655067,2025-06-21 17:34:35+00:00
1,10,125,33,85,0.0,85.74,84.39999999999998,2.781,0.5,125,543629547,222654495,2025-06-21 17:34:37+00:00
