135,136,143,distance,heart_rate,timestamp
77,55,83,0.0,55,2025-07-08 09:17:15+00:00
77,55,83,0.0,55,2025-07-08 09:17:16+00:00
103,57,83,0.0,57,2025-07-08 09:17:18+00:00
111,58,83,0.0,58,2025-07-08 09:17:19+00:00
114,59,83,0.0,59,2025-07-08 09:17:20+00:00
56,60,83,0.0,60,2025-07-08 09:17:22+00:00
32,59,83,0.0,59,2025-07-08 09:17:23+00:00
18,58,83,0.0,58,2025-07-08 09:17:24+00:00
7,57,83,0.0,57,2025-07-08 09:17:26+00:00
6,56,83,0.0,56,2025-07-08 09:17:27+00:00
5,55,83,0.0,55,2025-07-08 09:17:28+00:00
3,54,83,0.0,54,2025-07-08 09:17:29+00:00
2,56,83,0.0,56,2025-07-08 09:17:35+00:00
7,55,83,0.0,55,2025-07-08 09:17:36+00:00
3,56,83,0.0,56,2025-07-08 09:17:38+00:00
1,55,83,0.0,55,2025-07-08 09:17:39+00:00
27,56,83,0.0,56,2025-07-08 09:17:43+00:00
13,57,83,0.0,57,2025-07-08 09:17:44+00:00
8,56,83,0.0,56,2025-07-08 09:17:45+00:00
17,55,83,0.0,55,2025-07-08 09:17:47+00:00
20,54,83,0.0,54,2025-07-08 09:17:48+00:00
27,55,83,0.0,55,2025-07-08 09:17:49+00:00
42,56,83,0.0,56,2025-07-08 09:17:52+00:00
46,57,83,0.0,57,2025-07-08 09:17:53+00:00
34,55,83,0.0,55,2025-07-08 09:17:54+00:00
47,56,83,0.0,56,2025-07-08 09:17:58+00:00
54,58,83,0.0,58,2025-07-08 09:18:00+00:00
54,57,83,0.0,57,2025-07-08 09:18:01+00:00
51,53,83,0.0,53,2025-07-08 09:18:02+00:00
34,45,83,0.0,45,2025-07-08 09:18:03+00:00
23,40,83,0.0,40,2025-07-08 09:18:04+00:00
19,38,83,0.0,38,2025-07-08 09:18:05+00:00
27,39,83,0.0,39,2025-07-08 09:18:06+00:00
34,38,83,0.0,38,2025-07-08 09:18:07+00:00
61,39,83,0.0,39,2025-07-08 09:18:11+00:00
67,40,83,0.0,40,2025-07-08 09:18:12+00:00
73,41,83,0.0,41,2025-07-08 09:18:13+00:00
59,46,83,0.0,46,2025-07-08 09:18:14+00:00
67,47,83,0.0,47,2025-07-08 09:18:15+00:00
75,48,83,0.0,48,2025-07-08 09:18:16+00:00
81,49,83,0.0,49,2025-07-08 09:18:17+00:00
97,48,83,0.0,48,2025-07-08 09:18:21+00:00
102,49,83,0.0,49,2025-07-08 09:18:22+00:00
83,56,83,0.0,56,2025-07-08 09:18:24+00:00
69,60,83,0.0,60,2025-07-08 09:18:25+00:00
72,61,83,0.0,61,2025-07-08 09:18:26+00:00
77,62,83,0.0,62,2025-07-08 09:18:27+00:00
83,63,83,0.0,63,2025-07-08 09:18:28+00:00
85,64,83,0.0,64,2025-07-08 09:18:29+00:00
76,66,83,0.0,66,2025-07-08 09:18:30+00:00
52,67,83,0.0,67,2025-07-08 09:18:32+00:00
49,68,83,0.0,68,2025-07-08 09:18:33+00:00
53,69,83,0.0,69,2025-07-08 09:18:34+00:00
31,81,83,0.0,81,2025-07-08 09:18:35+00:00
8,90,83,0.0,90,2025-07-08 09:18:36+00:00
8,90,83,0.0,90,2025-07-08 09:18:37+00:00
12,91,83,0.0,91,2025-07-08 09:18:43+00:00
15,92,83,0.0,92,2025-07-08 09:18:44+00:00
8,94,83,0.0,94,2025-07-08 09:18:45+00:00
1,96,83,0.0,96,2025-07-08 09:18:46+00:00
6,97,83,0.0,97,2025-07-08 09:18:47+00:00
1,99,83,0.0,99,2025-07-08 09:18:48+00:00
0,98,83,0.0,98,2025-07-08 09:18:49+00:00
1,97,83,0.0,97,2025-07-08 09:18:52+00:00
1,96,83,0.0,96,2025-07-08 09:18:54+00:00
0,97,83,0.0,97,2025-07-08 09:18:57+00:00
1,98,83,0.0,98,2025-07-08 09:18:59+00:00
1,99,83,0.0,99,2025-07-08 09:19:02+00:00
1,98,83,0.0,98,2025-07-08 09:19:05+00:00
1,99,83,0.0,99,2025-07-08 09:19:08+00:00
1,98,83,0.0,98,2025-07-08 09:19:09+00:00
1,99,83,0.0,99,2025-07-08 09:19:11+00:00
1,98,83,0.0,98,2025-07-08 09:19:19+00:00
0,99,83,0.0,99,2025-07-08 09:19:20+00:00
1,98,83,0.0,98,2025-07-08 09:19:25+00:00
1,99,83,0.0,99,2025-07-08 09:19:29+00:00
1,100,83,0.0,100,2025-07-08 09:19:34+00:00
1,101,83,0.0,101,2025-07-08 09:19:36+00:00
1,102,83,0.0,102,2025-07-08 09:19:37+00:00
1,103,83,0.0,103,2025-07-08 09:19:38+00:00
0,102,83,0.0,102,2025-07-08 09:19:44+00:00
0,103,83,0.0,103,2025-07-08 09:19:45+00:00
0,102,83,0.0,102,2025-07-08 09:19:46+00:00
0,103,83,0.0,103,2025-07-08 09:19:47+00:00
1,102,83,0.0,102,2025-07-08 09:19:49+00:00
2,101,83,0.0,101,2025-07-08 09:19:51+00:00
4,100,83,0.0,100,2025-07-08 09:19:52+00:00
1,99,83,0.0,99,2025-07-08 09:19:54+00:00
1,98,83,0.0,98,2025-07-08 09:19:55+00:00
0,97,83,0.0,97,2025-07-08 09:19:58+00:00
0,98,83,0.0,98,2025-07-08 09:19:59+00:00
0,99,83,0.0,99,2025-07-08 09:20:03+00:00
0,98,83,0.0,98,2025-07-08 09:20:05+00:00
0,99,83,0.0,99,2025-07-08 09:20:06+00:00
0,100,83,0.0,100,2025-07-08 09:20:10+00:00
1,99,83,0.0,99,2025-07-08 09:20:13+00:00
1,100,83,0.0,100,2025-07-08 09:20:14+00:00
1,101,83,0.0,101,2025-07-08 09:20:17+00:00
1,100,83,0.0,100,2025-07-08 09:20:18+00:00
1,99,83,0.0,99,2025-07-08 09:20:21+00:00
0,100,83,0.0,100,2025-07-08 09:20:27+00:00
0,99,83,0.0,99,2025-07-08 09:20:29+00:00
1,98,83,0.0,98,2025-07-08 09:20:34+00:00
0,97,83,0.0,97,2025-07-08 09:20:38+00:00
0,95,83,0.0,95,2025-07-08 09:20:39+00:00
3,93,83,0.0,93,2025-07-08 09:20:40+00:00
5,94,83,0.0,94,2025-07-08 09:20:41+00:00
1,95,83,0.0,95,2025-07-08 09:20:42+00:00
7,94,83,0.0,94,2025-07-08 09:20:44+00:00
2,93,83,0.0,93,2025-07-08 09:20:45+00:00
2,92,83,0.0,92,2025-07-08 09:20:46+00:00
3,91,83,0.0,91,2025-07-08 09:20:47+00:00
0,88,83,0.0,88,2025-07-08 09:20:48+00:00
0,86,83,0.0,86,2025-07-08 09:20:49+00:00
0,85,83,0.0,85,2025-07-08 09:20:51+00:00
0,84,83,0.0,84,2025-07-08 09:20:53+00:00
0,83,83,0.0,83,2025-07-08 09:20:54+00:00
0,81,83,0.0,81,2025-07-08 09:20:55+00:00
0,79,83,0.0,79,2025-07-08 09:20:56+00:00
1,77,83,0.0,77,2025-07-08 09:20:57+00:00
0,76,83,0.0,76,2025-07-08 09:20:58+00:00
0,75,83,0.0,75,2025-07-08 09:21:00+00:00
0,74,83,0.0,74,2025-07-08 09:21:03+00:00
1,75,83,0.0,75,2025-07-08 09:21:04+00:00
1,76,83,0.0,76,2025-07-08 09:21:11+00:00
1,76,83,0.0,76,2025-07-08 09:21:13+00:00
1,76,83,0.0,76,2025-07-08 09:21:14+00:00
21,75,83,0.0,75,2025-07-08 09:21:15+00:00
28,74,83,0.0,74,2025-07-08 09:21:17+00:00
34,73,83,0.0,73,2025-07-08 09:21:18+00:00
28,72,83,0.0,72,2025-07-08 09:21:21+00:00
8,69,83,0.0,69,2025-07-08 09:21:22+00:00
13,68,83,0.0,68,2025-07-08 09:21:23+00:00
5,70,83,0.0,70,2025-07-08 09:21:24+00:00
12,69,83,0.0,69,2025-07-08 09:21:26+00:00
23,66,83,0.0,66,2025-07-08 09:21:28+00:00
25,65,83,0.0,65,2025-07-08 09:21:29+00:00
17,62,83,0.0,62,2025-07-08 09:21:30+00:00
13,57,83,0.0,57,2025-07-08 09:21:31+00:00
10,55,83,0.0,55,2025-07-08 09:21:32+00:00
11,54,83,0.0,54,2025-07-08 09:21:33+00:00
7,52,83,0.0,52,2025-07-08 09:21:34+00:00
6,54,83,0.0,54,2025-07-08 09:21:36+00:00
7,58,83,0.0,58,2025-07-08 09:21:37+00:00
8,57,83,0.0,57,2025-07-08 09:21:38+00:00
1,53,83,0.0,53,2025-07-08 09:21:39+00:00
1,53,83,0.0,53,2025-07-08 09:21:40+00:00
0,52,83,0.0,52,2025-07-08 09:21:43+00:00
0,53,83,0.0,53,2025-07-08 09:21:46+00:00
0,52,83,0.0,52,2025-07-08 09:21:51+00:00
0,51,83,0.0,51,2025-07-08 09:21:54+00:00
0,52,83,0.0,52,2025-07-08 09:22:03+00:00
0,53,83,0.0,53,2025-07-08 09:22:07+00:00
2,54,83,0.0,54,2025-07-08 09:22:11+00:00
16,57,83,0.0,57,2025-07-08 09:22:13+00:00
23,58,83,0.0,58,2025-07-08 09:22:14+00:00
30,59,83,0.0,59,2025-07-08 09:22:15+00:00
21,57,83,0.0,57,2025-07-08 09:22:17+00:00
35,56,83,0.0,56,2025-07-08 09:22:19+00:00
40,55,83,0.0,55,2025-07-08 09:22:21+00:00
39,53,83,0.0,53,2025-07-08 09:22:22+00:00
38,51,83,0.0,51,2025-07-08 09:22:23+00:00
35,50,83,0.0,50,2025-07-08 09:22:26+00:00
10,49,83,0.0,49,2025-07-08 09:22:27+00:00
10,46,83,0.0,46,2025-07-08 09:22:30+00:00
9,44,83,0.0,44,2025-07-08 09:22:31+00:00
4,43,83,0.0,43,2025-07-08 09:22:32+00:00
6,44,83,0.0,44,2025-07-08 09:22:33+00:00
26,43,83,0.0,43,2025-07-08 09:22:36+00:00
52,44,83,0.0,44,2025-07-08 09:22:40+00:00
46,47,83,0.0,47,2025-07-08 09:22:41+00:00
64,48,83,0.0,48,2025-07-08 09:22:44+00:00
72,49,83,0.0,49,2025-07-08 09:22:46+00:00
74,50,83,0.0,50,2025-07-08 09:22:47+00:00
75,51,83,0.0,51,2025-07-08 09:22:48+00:00
73,52,83,0.0,52,2025-07-08 09:22:49+00:00
76,53,83,0.0,53,2025-07-08 09:22:50+00:00
76,54,83,0.0,54,2025-07-08 09:22:51+00:00
84,55,83,0.0,55,2025-07-08 09:22:53+00:00
84,57,83,0.0,57,2025-07-08 09:22:54+00:00
86,58,83,0.0,58,2025-07-08 09:22:55+00:00
14,89,83,0.0,89,2025-07-08 09:22:56+00:00
3,94,83,0.0,94,2025-07-08 09:22:57+00:00
3,95,83,0.0,95,2025-07-08 09:22:58+00:00
2,96,83,0.0,96,2025-07-08 09:22:59+00:00
