107,135,136,143,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,timestamp
0,1,93,94,6.76,97.60000000000002,2.631,93,543602708,222663325,2025-07-15 04:38:59+00:00
1,6,92,94,25.69,97.20000000000005,3.592,92,543602562,222666068,2025-07-15 04:39:05+00:00
1,12,95,94,43.34,97.0,3.042,95,543602811,222668656,2025-07-15 04:39:10+00:00
1,12,95,94,46.76,97.0,3.536,95,543602858,222669203,2025-07-15 04:39:11+00:00
1,12,98,94,63.75,96.39999999999998,2.79,98,543602961,222671784,2025-07-15 04:39:16+00:00
1,8,97,94,66.82,96.60000000000002,2.883,97,543602980,222672243,2025-07-15 04:39:17+00:00
1,3,99,94,89.34,98.39999999999998,3.574,99,543603052,222675665,2025-07-15 04:39:25+00:00
1,6,100,94,112.41,98.39999999999998,4.236,100,543603100,222679209,2025-07-15 04:39:31+00:00
1,8,100,94,121.23,98.0,4.479,100,543603212,222680548,2025-07-15 04:39:33+00:00
1,2,102,94,134.6,98.0,4.768,102,543603217,222682654,2025-07-15 04:39:36+00:00
1,1,103,94,145.2,98.39999999999998,4.992,103,543603245,222684327,2025-07-15 04:39:38+00:00
1,1,101,94,168.62,99.0,5.402,101,543603271,222687800,2025-07-15 04:39:42+00:00
1,3,104,94,201.66,99.60000000000002,5.636,104,543603246,222692863,2025-07-15 04:39:48+00:00
1,6,105,94,213.48,100.39999999999998,5.552,105,543603263,222694688,2025-07-15 04:39:50+00:00
1,7,108,94,231.97,101.20000000000005,5.72,108,543603257,222697452,2025-07-15 04:39:53+00:00
1,7,108,94,261.98,100.79999999999995,5.953,108,543603277,222701932,2025-07-15 04:39:58+00:00
1,3,109,94,301.72,97.39999999999998,5.692,109,543602873,222708081,2025-07-15 04:40:05+00:00
1,3,109,94,349.15,95.79999999999995,5.832,109,543602129,222715232,2025-07-15 04:40:13+00:00
1,8,111,94,394.32,95.79999999999995,5.384,111,543601573,222722144,2025-07-15 04:40:21+00:00
1,6,113,94,433.48,94.79999999999995,5.44,113,543601024,222728073,2025-07-15 04:40:28+00:00
1,27,114,94,475.0,94.60000000000002,5.906,114,543600467,222734385,2025-07-15 04:40:35+00:00
1,29,115,94,513.43,95.60000000000002,4.917,115,543599949,222740183,2025-07-15 04:40:42+00:00
1,29,115,94,518.33,96.0,4.833,115,543599732,222740859,2025-07-15 04:40:43+00:00
1,4,110,94,532.16,96.20000000000005,4.591,110,543598905,222742560,2025-07-15 04:40:46+00:00
1,4,108,94,553.67,95.39999999999998,3.816,108,543598504,222745873,2025-07-15 04:40:51+00:00
1,6,109,94,568.8,94.79999999999995,4.068,109,543598664,222748095,2025-07-15 04:40:55+00:00
1,7,108,94,581.5,95.60000000000002,4.712,108,543598016,222749848,2025-07-15 04:40:58+00:00
1,7,108,94,591.68,95.0,5.253,108,543597595,222751269,2025-07-15 04:41:00+00:00
1,20,109,94,620.42,95.0,5.766,109,543596715,222755488,2025-07-15 04:41:05+00:00
1,22,108,94,662.04,96.39999999999998,5.962,108,543595006,222761383,2025-07-15 04:41:12+00:00
1,1,111,94,687.75,96.79999999999995,6.364,111,543593707,222764849,2025-07-15 04:41:16+00:00
1,1,111,94,714.73,96.39999999999998,6.308,111,543592326,222768450,2025-07-15 04:41:20+00:00
1,14,113,94,770.49,96.20000000000005,5.85,113,543589367,222775832,2025-07-15 04:41:29+00:00
1,17,115,94,815.08,95.0,4.871,115,543586895,222781758,2025-07-15 04:41:37+00:00
1,6,114,94,842.48,100.39999999999998,4.208,114,543585386,222785143,2025-07-15 04:41:42+00:00
1,11,113,94,867.51,101.0,5.402,113,543584207,222788601,2025-07-15 04:41:47+00:00
1,11,113,94,872.76,101.20000000000005,4.917,113,543583943,222789280,2025-07-15 04:41:48+00:00
1,27,112,94,892.23,99.79999999999995,4.553,112,543582977,222791930,2025-07-15 04:41:52+00:00
1,27,112,94,906.45,99.60000000000002,5.048,112,543582262,222793909,2025-07-15 04:41:55+00:00
1,17,109,94,923.06,98.79999999999995,5.505,109,543581640,222796315,2025-07-15 04:41:58+00:00
1,2,111,94,962.86,99.0,5.468,111,543580055,222801856,2025-07-15 04:42:05+00:00
1,2,112,94,997.41,98.0,5.729,112,543578866,222806931,2025-07-15 04:42:11+00:00
1,10,113,94,1048.08,97.60000000000002,5.179,113,543577292,222814236,2025-07-15 04:42:20+00:00
1,10,114,94,1078.47,99.0,3.434,114,543576387,222818789,2025-07-15 04:42:27+00:00
1,9,112,94,1094.53,100.39999999999998,3.695,112,543575576,222820917,2025-07-15 04:42:32+00:00
1,8,115,94,1106.97,101.0,4.665,115,543574592,222822291,2025-07-15 04:42:35+00:00
1,8,116,94,1117.14,102.20000000000005,5.001,116,543573678,222823064,2025-07-15 04:42:37+00:00
1,8,113,94,1144.42,102.79999999999995,5.561,113,543571373,222825474,2025-07-15 04:42:42+00:00
1,4,111,94,1188.54,100.60000000000002,5.776,111,543567571,222829653,2025-07-15 04:42:50+00:00
1,1,110,94,1204.98,100.39999999999998,5.468,110,543566248,222831391,2025-07-15 04:42:53+00:00
1,3,109,94,1216.34,100.39999999999998,5.486,109,543565688,222832898,2025-07-15 04:42:55+00:00
1,3,109,94,1227.49,100.60000000000002,5.468,109,543565412,222834562,2025-07-15 04:42:57+00:00
1,4,110,94,1239.39,99.60000000000002,5.972,110,543565383,222836416,2025-07-15 04:42:59+00:00
1,8,111,93,1288.99,98.0,4.078,111,543565488,222843846,2025-07-15 04:43:07+00:00
1,8,111,93,1313.35,98.0,5.552,111,543565613,222847700,2025-07-15 04:43:12+00:00
1,20,114,93,1349.39,98.60000000000002,6.252,114,543565613,222853145,2025-07-15 04:43:18+00:00
1,8,116,93,1361.62,98.79999999999995,6.233,116,543565639,222855039,2025-07-15 04:43:20+00:00
1,11,117,93,1412.11,101.79999999999995,6.28,117,543565900,222862755,2025-07-15 04:43:28+00:00
1,11,120,93,1445.59,101.0,6.326,120,543565880,222867834,2025-07-15 04:43:33+00:00
1,11,120,93,1458.61,100.20000000000005,6.074,120,543565806,222869778,2025-07-15 04:43:35+00:00
1,4,120,93,1470.64,99.20000000000005,6.028,120,543565557,222871576,2025-07-15 04:43:37+00:00
1,4,120,93,1482.53,99.20000000000005,6.028,120,543565085,222873263,2025-07-15 04:43:39+00:00
1,1,118,93,1519.42,97.39999999999998,6.177,118,543564038,222878746,2025-07-15 04:43:45+00:00
1,1,118,93,1537.18,96.79999999999995,5.225,118,543563674,222881360,2025-07-15 04:43:48+00:00
1,1,118,93,1547.58,96.79999999999995,4.88,118,543563409,222882930,2025-07-15 04:43:50+00:00
1,1,118,93,1577.96,94.20000000000005,3.994,118,543562527,222887488,2025-07-15 04:43:56+00:00
1,4,117,93,1589.27,93.0,3.555,117,543561378,222888192,2025-07-15 04:43:59+00:00
1,7,116,93,1602.25,93.60000000000002,2.771,116,543559967,222888270,2025-07-15 04:44:03+00:00
1,16,117,93,1612.07,93.20000000000005,3.303,117,543559006,222888259,2025-07-15 04:44:06+00:00
1,10,115,93,1630.54,93.60000000000002,3.994,115,543557018,222888370,2025-07-15 04:44:11+00:00
1,18,113,93,1653.39,96.0,3.499,113,543554552,222888599,2025-07-15 04:44:17+00:00
1,4,114,93,1675.01,94.39999999999998,4.217,114,543552281,222889323,2025-07-15 04:44:22+00:00
1,6,117,93,1698.58,93.20000000000005,4.301,117,543549727,222889575,2025-07-15 04:44:27+00:00
1,6,117,93,1703.79,92.60000000000002,4.376,117,543549215,222889601,2025-07-15 04:44:28+00:00
1,10,116,93,1723.42,94.0,3.312,116,543547170,222889837,2025-07-15 04:44:33+00:00
1,19,114,93,1747.26,94.39999999999998,3.546,114,543544592,222889987,2025-07-15 04:44:39+00:00
1,19,114,93,1752.61,94.60000000000002,3.602,114,543543941,222890260,2025-07-15 04:44:41+00:00
1,8,113,93,1759.54,95.60000000000002,3.536,113,543543599,222891217,2025-07-15 04:44:43+00:00
1,13,112,93,1772.67,95.60000000000002,4.656,112,543542851,222892956,2025-07-15 04:44:46+00:00
1,13,112,93,1777.24,95.79999999999995,5.048,112,543542835,222893694,2025-07-15 04:44:47+00:00
1,22,115,93,1809.64,96.0,5.664,115,543542921,222898634,2025-07-15 04:44:53+00:00
1,22,115,93,1815.49,96.39999999999998,5.58,115,543542989,222899485,2025-07-15 04:44:54+00:00
1,5,116,93,1862.06,95.0,5.757,116,543543382,222906614,2025-07-15 04:45:02+00:00
1,3,117,93,1878.03,96.39999999999998,5.328,117,543543465,222909044,2025-07-15 04:45:05+00:00
1,2,115,93,1893.66,96.60000000000002,5.057,115,543543293,222911430,2025-07-15 04:45:08+00:00
1,2,114,93,1904.07,96.0,4.992,114,543543461,222913017,2025-07-15 04:45:10+00:00
1,3,114,93,1920.36,96.0,5.486,114,543544063,222915339,2025-07-15 04:45:13+00:00
1,4,113,93,1948.93,94.39999999999998,5.748,113,543545406,222919354,2025-07-15 04:45:18+00:00
1,4,112,93,1954.64,94.60000000000002,5.542,112,543545470,222920221,2025-07-15 04:45:19+00:00
1,4,113,93,1959.84,94.79999999999995,5.3,113,543545377,222921031,2025-07-15 04:45:20+00:00
1,3,114,93,1970.34,95.0,4.973,114,543545254,222922626,2025-07-15 04:45:22+00:00
1,0,116,93,1975.47,95.0,4.964,116,543545280,222923425,2025-07-15 04:45:23+00:00
1,1,115,93,1989.59,96.0,4.479,115,543545564,222925640,2025-07-15 04:45:26+00:00
1,1,115,93,1994.15,96.39999999999998,4.815,115,543545739,222926316,2025-07-15 04:45:27+00:00
1,1,115,93,1998.96,96.20000000000005,4.628,115,543545852,222927091,2025-07-15 04:45:28+00:00
1,1,115,93,2007.09,96.79999999999995,3.144,115,543545548,222928218,2025-07-15 04:45:30+00:00
1,1,114,93,2017.62,98.20000000000005,3.611,114,543544304,222928387,2025-07-15 04:45:33+00:00
1,1,115,93,2038.24,99.0,3.471,115,543542320,222929174,2025-07-15 04:45:38+00:00
1,1,115,93,2053.83,100.20000000000005,4.161,115,543541667,222931460,2025-07-15 04:45:42+00:00
1,1,115,93,2082.98,107.20000000000005,3.387,115,543540575,222935795,2025-07-15 04:45:49+00:00
1,1,115,93,2103.74,107.39999999999998,4.404,115,543540102,222938780,2025-07-15 04:45:53+00:00
1,1,115,93,2125.72,106.60000000000002,4.087,115,543539454,222941822,2025-07-15 04:45:58+00:00
1,1,115,93,2130.12,106.39999999999998,4.6,115,543539299,222942540,2025-07-15 04:45:59+00:00
1,12,116,93,2150.79,104.60000000000002,4.115,116,543538914,222945623,2025-07-15 04:46:03+00:00
1,4,118,93,2181.2,101.20000000000005,4.675,118,543538298,222950040,2025-07-15 04:46:09+00:00
1,6,119,93,2202.01,97.79999999999995,5.589,119,543537774,222953194,2025-07-15 04:46:13+00:00
1,3,120,93,2223.79,95.39999999999998,5.402,120,543537279,222956454,2025-07-15 04:46:17+00:00
1,3,120,93,2229.79,95.0,5.673,120,543537111,222957320,2025-07-15 04:46:18+00:00
1,2,123,93,2265.34,95.39999999999998,5.86,123,543536229,222962591,2025-07-15 04:46:24+00:00
1,4,122,93,2311.79,95.20000000000005,5.645,122,543534920,222969419,2025-07-15 04:46:32+00:00
1,1,120,93,2346.06,95.39999999999998,4.908,120,543534012,222974493,2025-07-15 04:46:38+00:00
1,1,120,93,2378.32,94.79999999999995,5.682,120,543533076,222979233,2025-07-15 04:46:44+00:00
1,0,121,93,2420.59,95.0,6.28,121,543532128,222985580,2025-07-15 04:46:51+00:00
1,0,124,93,2446.48,97.0,6.308,124,543531495,222989371,2025-07-15 04:46:55+00:00
1,1,127,93,2464.61,96.39999999999998,6.102,127,543531064,222992082,2025-07-15 04:46:58+00:00
1,1,127,93,2476.78,96.20000000000005,6.093,127,543530721,222993908,2025-07-15 04:47:00+00:00
1,2,126,93,2526.1,95.60000000000002,6.42,126,543529293,223001126,2025-07-15 04:47:08+00:00
1,1,128,93,2581.8,98.60000000000002,6.429,128,543527634,223009407,2025-07-15 04:47:17+00:00
1,2,128,93,2640.74,98.60000000000002,5.99,128,543526192,223018055,2025-07-15 04:47:26+00:00
1,1,129,93,2692.82,96.39999999999998,5.179,129,543525115,223025878,2025-07-15 04:47:35+00:00
1,7,126,93,2723.09,96.0,4.572,126,543524602,223030491,2025-07-15 04:47:41+00:00
1,8,125,93,2732.34,95.39999999999998,4.553,125,543524312,223031941,2025-07-15 04:47:43+00:00
1,8,125,93,2740.52,93.79999999999995,3.826,125,543523445,223032375,2025-07-15 04:47:45+00:00
1,9,121,93,2748.33,93.39999999999998,3.686,121,543522612,223032037,2025-07-15 04:47:47+00:00
1,5,120,93,2756.41,93.39999999999998,3.527,120,543521793,223032075,2025-07-15 04:47:49+00:00
1,5,120,93,2769.85,93.20000000000005,4.04,120,543520358,223031823,2025-07-15 04:47:53+00:00
1,7,121,93,2799.18,90.79999999999995,5.533,121,543517015,223030761,2025-07-15 04:47:59+00:00
1,1,117,92,2831.23,90.79999999999995,5.449,117,543513794,223029861,2025-07-15 04:48:04+00:00
1,2,116,92,2852.88,90.0,4.852,116,543511500,223029382,2025-07-15 04:48:08+00:00
1,2,116,92,2858.06,90.60000000000002,4.124,116,543511160,223028844,2025-07-15 04:48:09+00:00
1,2,116,92,2866.84,89.0,3.994,116,543510393,223027999,2025-07-15 04:48:11+00:00
1,2,116,92,2874.29,91.39999999999998,5.225,116,543509734,223027459,2025-07-15 04:48:12+00:00
1,2,116,92,2889.54,92.39999999999998,4.927,116,543508165,223026752,2025-07-15 04:48:15+00:00
1,7,117,92,2899.64,93.60000000000002,4.656,117,543507174,223026210,2025-07-15 04:48:17+00:00
1,7,119,92,2914.54,93.20000000000005,4.572,119,543505681,223025574,2025-07-15 04:48:20+00:00
1,7,119,92,2926.23,94.20000000000005,4.637,119,543504388,223025692,2025-07-15 04:48:23+00:00
1,1,116,92,2929.51,93.60000000000002,3.826,116,543504136,223026027,2025-07-15 04:48:24+00:00
1,1,115,92,2942.62,93.0,4.777,115,543503496,223027853,2025-07-15 04:48:27+00:00
1,1,115,92,2947.35,93.60000000000002,4.824,115,543503297,223028520,2025-07-15 04:48:28+00:00
1,4,114,92,2982.95,95.20000000000005,4.563,114,543502142,223033850,2025-07-15 04:48:35+00:00
1,1,114,92,3005.12,98.60000000000002,2.725,114,543501089,223036693,2025-07-15 04:48:40+00:00
1,1,113,92,3021.61,104.79999999999995,3.471,113,543499191,223036190,2025-07-15 04:48:44+00:00
1,3,112,92,3037.22,107.0,1.418,112,543497662,223036400,2025-07-15 04:48:48+00:00
1,3,112,92,3047.92,112.39999999999998,4.106,112,543496380,223036139,2025-07-15 04:48:51+00:00
1,1,109,92,3066.79,112.79999999999995,0.774,109,543494524,223035953,2025-07-15 04:48:55+00:00
1,1,109,92,3069.96,113.20000000000005,0.597,109,543494214,223035857,2025-07-15 04:48:56+00:00
1,1,108,92,3071.83,113.20000000000005,0.597,108,543493925,223035660,2025-07-15 04:48:57+00:00
