14,2,category,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[212, 42]","['unknown', 'squat']",119.183,0,10,active,2025-08-26 15:19:43+00:00,2025-08-26 15:19:43+00:00
,,,40.14,1,,rest,2025-08-26 15:21:42+00:00,2025-08-26 15:19:43+00:00
1,"[255, None]","['unknown', 'curl']",118.937,2,10,active,2025-08-26 15:22:22+00:00,2025-08-26 15:19:43+00:00
,,,40.644,3,,rest,2025-08-26 15:24:21+00:00,2025-08-26 15:19:43+00:00
2,"[255, None]","['unknown', 'curl']",120.125,4,10,active,2025-08-26 15:25:02+00:00,2025-08-26 15:19:43+00:00
,,,40.436,5,,rest,2025-08-26 15:27:02+00:00,2025-08-26 15:19:43+00:00
3,"[255, None]","['unknown', 'curl']",91.699,6,10,active,2025-08-26 15:27:42+00:00,2025-08-26 15:19:43+00:00
,,,60.38,7,,rest,2025-08-26 15:29:14+00:00,2025-08-26 15:19:43+00:00
4,"[255, None]","['squat', 'unknown']",75.589,8,10,active,2025-08-26 15:30:14+00:00,2025-08-26 15:19:43+00:00
,,,60.393,9,,rest,2025-08-26 15:31:30+00:00,2025-08-26 15:19:43+00:00
5,"[255, None]","['squat', 'unknown']",76.055,10,10,active,2025-08-26 15:32:30+00:00,2025-08-26 15:19:43+00:00
,,,61.433,11,,rest,2025-08-26 15:33:46+00:00,2025-08-26 15:19:43+00:00
6,"[255, None]","['unknown', 'curl']",82.858,12,24,active,2025-08-26 15:34:48+00:00,2025-08-26 15:19:43+00:00
,,,45.635,13,,rest,2025-08-26 15:36:11+00:00,2025-08-26 15:19:43+00:00
7,"[255, None]","['unknown', 'curl']",77.15,14,24,active,2025-08-26 15:36:56+00:00,2025-08-26 15:19:43+00:00
,,,45.613,15,,rest,2025-08-26 15:38:14+00:00,2025-08-26 15:19:43+00:00
8,"[255, None]","['unknown', 'curl']",72.737,16,24,active,2025-08-26 15:38:59+00:00,2025-08-26 15:19:43+00:00
,,,8.438,17,,rest,2025-08-26 15:40:12+00:00,2025-08-26 15:19:43+00:00
