14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, None]","['unknown', 'curl']",,167.303,0,8,active,2025-08-29 09:12:20+00:00,2025-08-29 09:12:20+00:00
,,,,60.305,1,,rest,2025-08-29 09:15:07+00:00,2025-08-29 09:12:20+00:00
1,"[255, None]","['unknown', 'curl']",,173.706,2,8,active,2025-08-29 09:16:07+00:00,2025-08-29 09:12:20+00:00
,,,,60.23,3,,rest,2025-08-29 09:19:01+00:00,2025-08-29 09:12:20+00:00
2,"[170, 85]","['deadlift', 'unknown']","[0, None]",110.612,4,20,active,2025-08-29 09:20:01+00:00,2025-08-29 09:12:20+00:00
,,,,40.364,5,,rest,2025-08-29 09:21:52+00:00,2025-08-29 09:12:20+00:00
3,"[255, None]","['unknown', 'curl']",,100.644,6,20,active,2025-08-29 09:22:32+00:00,2025-08-29 09:12:20+00:00
,,,,40.412,7,,rest,2025-08-29 09:24:13+00:00,2025-08-29 09:12:20+00:00
4,"[255, None]","['unknown', 'curl']",,100.573,8,20,active,2025-08-29 09:24:53+00:00,2025-08-29 09:12:20+00:00
,,,,60.637,9,,rest,2025-08-29 09:26:34+00:00,2025-08-29 09:12:20+00:00
5,"[170, 85]","['row', 'unknown']",,23.132,10,10,active,2025-08-29 09:27:34+00:00,2025-08-29 09:12:20+00:00
,,,,30.56,11,,rest,2025-08-29 09:27:58+00:00,2025-08-29 09:12:20+00:00
6,"[255, None]","['row', 'unknown']",,22.463,12,10,active,2025-08-29 09:28:28+00:00,2025-08-29 09:12:20+00:00
,,,,35.478,13,,rest,2025-08-29 09:28:51+00:00,2025-08-29 09:12:20+00:00
7,"[255, None]","['row', 'unknown']",,24.318,14,10,active,2025-08-29 09:29:26+00:00,2025-08-29 09:12:20+00:00
,,,,60.382,15,,rest,2025-08-29 09:29:50+00:00,2025-08-29 09:12:20+00:00
8,"[255, None]","['unknown', 'curl']",,80.373,16,12,active,2025-08-29 09:30:51+00:00,2025-08-29 09:12:20+00:00
,,,,45.489,17,,rest,2025-08-29 09:32:11+00:00,2025-08-29 09:12:20+00:00
9,"[255, None]","['unknown', 'curl']",,74.396,18,12,active,2025-08-29 09:32:57+00:00,2025-08-29 09:12:20+00:00
,,,,46.383,19,,rest,2025-08-29 09:34:11+00:00,2025-08-29 09:12:20+00:00
10,"[255, None]","['unknown', 'curl']",,65.169,20,12,active,2025-08-29 09:34:57+00:00,2025-08-29 09:12:20+00:00
,,,,10.412,21,,rest,2025-08-29 09:36:03+00:00,2025-08-29 09:12:20+00:00
