14,2,category,duration,message_index,repetitions,set_type,start_time,timestamp,weight
0,"[255, None]","['unknown', 'curl']",171.567,0,4,active,2025-09-08 09:35:27+00:00,2025-09-08 09:35:27+00:00,
,,,60.371,1,,rest,2025-09-08 09:38:18+00:00,2025-09-08 09:35:27+00:00,
1,"[255, None]","['unknown', 'curl']",162.723,2,4,active,2025-09-08 09:39:18+00:00,2025-09-08 09:35:27+00:00,
,,,60.795,3,,rest,2025-09-08 09:42:01+00:00,2025-09-08 09:35:27+00:00,
2,"[255, None]","['unknown', 'curl']",126.383,4,10,active,2025-09-08 09:43:02+00:00,2025-09-08 09:35:27+00:00,
,,,60.466,5,,rest,2025-09-08 09:45:08+00:00,2025-09-08 09:35:27+00:00,
3,"[255, None]","['unknown', 'curl']",114.0,6,10,active,2025-09-08 09:46:09+00:00,2025-09-08 09:35:27+00:00,
,,,60.356,7,,rest,2025-09-08 09:48:03+00:00,2025-09-08 09:35:27+00:00,
4,"[255, None]","['unknown', 'curl']",114.685,8,10,active,2025-09-08 09:49:03+00:00,2025-09-08 09:35:27+00:00,
,,,60.582,9,,rest,2025-09-08 09:50:58+00:00,2025-09-08 09:35:27+00:00,
5,"[255, None]","['unknown', 'curl']",28.06,10,10,active,2025-09-08 09:51:58+00:00,2025-09-08 09:35:27+00:00,3.0
,,,30.622,11,,rest,2025-09-08 09:52:26+00:00,2025-09-08 09:35:27+00:00,
6,"[255, None]","['unknown', 'curl']",26.394,12,10,active,2025-09-08 09:52:57+00:00,2025-09-08 09:35:27+00:00,3.0
,,,30.48,13,,rest,2025-09-08 09:53:23+00:00,2025-09-08 09:35:27+00:00,
7,"[255, None]","['unknown', 'curl']",28.958,14,10,active,2025-09-08 09:53:54+00:00,2025-09-08 09:35:27+00:00,3.0
,,,30.535,15,,rest,2025-09-08 09:54:23+00:00,2025-09-08 09:35:27+00:00,
8,"[255, None]","['unknown', 'curl']",83.462,16,10,active,2025-09-08 09:54:53+00:00,2025-09-08 09:35:27+00:00,0.0
,,,60.257,17,,rest,2025-09-08 09:56:17+00:00,2025-09-08 09:35:27+00:00,
9,"[255, None]","['unknown', 'curl']",80.534,18,22,active,2025-09-08 09:57:17+00:00,2025-09-08 09:35:27+00:00,0.0
,,,60.442,19,,rest,2025-09-08 09:58:38+00:00,2025-09-08 09:35:27+00:00,
10,"[255, None]","['unknown', 'curl']",76.442,20,22,active,2025-09-08 09:59:38+00:00,2025-09-08 09:35:27+00:00,0.0
,,,10.182,21,,rest,2025-09-08 10:00:55+00:00,2025-09-08 09:35:27+00:00,
