135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
31,76,76,72.0,15.0,76,2025-09-19 11:07:18+00:00
41,75,76,72.0,15.0,75,2025-09-19 11:07:19+00:00
41,75,76,69.0,15.0,75,2025-09-19 11:07:20+00:00
41,75,76,69.0,15.0,75,2025-09-19 11:07:21+00:00
41,75,76,69.0,15.0,75,2025-09-19 11:07:22+00:00
41,75,76,69.0,15.0,75,2025-09-19 11:07:23+00:00
41,75,76,69.0,15.0,75,2025-09-19 11:07:24+00:00
41,75,76,68.0,15.0,75,2025-09-19 11:07:25+00:00
58,73,76,68.0,15.0,73,2025-09-19 11:07:26+00:00
58,73,76,68.0,15.0,73,2025-09-19 11:07:27+00:00
56,72,76,68.0,15.0,72,2025-09-19 11:07:28+00:00
55,71,76,68.0,15.0,71,2025-09-19 11:07:29+00:00
55,71,76,66.0,15.0,71,2025-09-19 11:07:30+00:00
65,72,76,66.0,15.0,72,2025-09-19 11:07:31+00:00
65,72,76,66.0,15.0,72,2025-09-19 11:07:32+00:00
65,72,76,66.0,15.0,72,2025-09-19 11:07:33+00:00
72,71,76,66.0,15.0,71,2025-09-19 11:07:34+00:00
66,70,76,63.0,17.0,70,2025-09-19 11:07:35+00:00
39,68,76,63.0,17.0,68,2025-09-19 11:07:36+00:00
17,66,76,63.0,17.0,66,2025-09-19 11:07:37+00:00
8,65,76,63.0,17.0,65,2025-09-19 11:07:38+00:00
8,65,76,63.0,17.0,65,2025-09-19 11:07:39+00:00
8,65,76,55.0,17.0,65,2025-09-19 11:07:40+00:00
16,67,76,55.0,17.0,67,2025-09-19 11:07:41+00:00
16,67,76,55.0,17.0,67,2025-09-19 11:07:42+00:00
16,67,76,55.0,17.0,67,2025-09-19 11:07:43+00:00
16,67,76,55.0,17.0,67,2025-09-19 11:07:44+00:00
8,66,76,48.0,17.0,66,2025-09-19 11:07:45+00:00
8,66,76,48.0,17.0,66,2025-09-19 11:07:46+00:00
7,65,76,48.0,16.0,65,2025-09-19 11:07:47+00:00
9,63,76,48.0,16.0,63,2025-09-19 11:07:48+00:00
15,62,76,48.0,16.0,62,2025-09-19 11:07:49+00:00
12,60,76,40.0,16.0,60,2025-09-19 11:07:50+00:00
8,58,76,40.0,16.0,58,2025-09-19 11:07:51+00:00
3,57,76,40.0,16.0,57,2025-09-19 11:07:52+00:00
3,57,76,40.0,16.0,57,2025-09-19 11:07:53+00:00
3,57,76,40.0,16.0,57,2025-09-19 11:07:54+00:00
3,57,76,29.0,16.0,57,2025-09-19 11:07:55+00:00
1,58,76,29.0,16.0,58,2025-09-19 11:07:56+00:00
1,58,76,29.0,16.0,58,2025-09-19 11:07:57+00:00
1,59,76,29.0,16.0,59,2025-09-19 11:07:58+00:00
1,59,76,29.0,15.0,59,2025-09-19 11:07:59+00:00
1,58,75,25.0,15.0,58,2025-09-19 11:08:00+00:00
1,58,75,25.0,15.0,58,2025-09-19 11:08:01+00:00
4,57,75,25.0,15.0,57,2025-09-19 11:08:02+00:00
1,54,75,25.0,16.0,54,2025-09-19 11:08:03+00:00
1,53,75,25.0,16.0,53,2025-09-19 11:08:04+00:00
1,53,75,23.0,16.0,53,2025-09-19 11:08:05+00:00
1,53,75,23.0,16.0,53,2025-09-19 11:08:06+00:00
0,54,75,23.0,16.0,54,2025-09-19 11:08:07+00:00
0,54,75,23.0,16.0,54,2025-09-19 11:08:08+00:00
0,54,75,23.0,16.0,54,2025-09-19 11:08:09+00:00
0,53,75,21.0,16.0,53,2025-09-19 11:08:10+00:00
0,53,75,21.0,16.0,53,2025-09-19 11:08:11+00:00
0,53,75,21.0,16.0,53,2025-09-19 11:08:12+00:00
0,53,75,21.0,16.0,53,2025-09-19 11:08:13+00:00
0,52,75,21.0,16.0,52,2025-09-19 11:08:14+00:00
1,53,75,19.0,16.0,53,2025-09-19 11:08:15+00:00
1,53,75,19.0,16.0,53,2025-09-19 11:08:16+00:00
1,52,75,19.0,16.0,52,2025-09-19 11:08:17+00:00
1,53,75,19.0,16.0,53,2025-09-19 11:08:18+00:00
1,53,75,19.0,16.0,53,2025-09-19 11:08:19+00:00
1,52,75,18.0,16.0,52,2025-09-19 11:08:20+00:00
1,53,75,18.0,16.0,53,2025-09-19 11:08:21+00:00
1,53,75,18.0,16.0,53,2025-09-19 11:08:22+00:00
1,52,75,18.0,16.0,52,2025-09-19 11:08:23+00:00
1,53,75,18.0,16.0,53,2025-09-19 11:08:24+00:00
1,53,75,16.0,16.0,53,2025-09-19 11:08:25+00:00
4,52,75,16.0,16.0,52,2025-09-19 11:08:26+00:00
4,52,75,16.0,16.0,52,2025-09-19 11:08:27+00:00
4,52,75,16.0,15.0,52,2025-09-19 11:08:28+00:00
9,53,75,16.0,15.0,53,2025-09-19 11:08:29+00:00
6,52,75,15.0,15.0,52,2025-09-19 11:08:30+00:00
3,53,75,15.0,15.0,53,2025-09-19 11:08:31+00:00
3,53,75,15.0,15.0,53,2025-09-19 11:08:32+00:00
3,53,75,15.0,15.0,53,2025-09-19 11:08:33+00:00
0,57,75,15.0,15.0,57,2025-09-19 11:08:34+00:00
0,58,75,15.0,15.0,58,2025-09-19 11:08:35+00:00
0,58,75,15.0,15.0,58,2025-09-19 11:08:36+00:00
0,59,75,15.0,15.0,59,2025-09-19 11:08:37+00:00
0,60,75,15.0,15.0,60,2025-09-19 11:08:38+00:00
0,60,75,15.0,15.0,60,2025-09-19 11:08:39+00:00
0,59,75,17.0,15.0,59,2025-09-19 11:08:40+00:00
0,60,75,17.0,15.0,60,2025-09-19 11:08:41+00:00
0,60,75,17.0,15.0,60,2025-09-19 11:08:42+00:00
0,60,75,17.0,15.0,60,2025-09-19 11:08:43+00:00
