14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
0,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",300.0,0,,active,2025-09-30 14:53:29+00:00,2025-09-30 14:53:29+00:00,0.0,kilogram,0
1,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",319.437,1,,active,2025-09-30 14:58:29+00:00,2025-09-30 14:53:29+00:00,0.0,kilogram,1
2,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",170.501,2,12,active,2025-09-30 15:03:48+00:00,2025-09-30 14:53:29+00:00,50.0,kilogram,2
,,,,60.485,3,,rest,2025-09-30 15:06:39+00:00,2025-09-30 14:53:29+00:00,,,3
3,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",62.852,4,12,active,2025-09-30 15:07:39+00:00,2025-09-30 14:53:29+00:00,50.0,kilogram,2
,,,,60.434,5,,rest,2025-09-30 15:08:42+00:00,2025-09-30 14:53:29+00:00,,,3
4,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",53.253,6,12,active,2025-09-30 15:09:42+00:00,2025-09-30 14:53:29+00:00,50.0,kilogram,2
,,,,60.573,7,,rest,2025-09-30 15:10:36+00:00,2025-09-30 14:53:29+00:00,,,3
5,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",54.458,8,12,active,2025-09-30 15:11:36+00:00,2025-09-30 14:53:29+00:00,50.0,kilogram,2
,,,,60.736,9,,rest,2025-09-30 15:12:31+00:00,2025-09-30 14:53:29+00:00,,,3
6,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",61.021,10,12,active,2025-09-30 15:13:31+00:00,2025-09-30 14:53:29+00:00,50.0,kilogram,2
,,,,445.069,11,,rest,2025-09-30 15:14:32+00:00,2025-09-30 14:53:29+00:00,,,3
7,"[255, 255]","['squat', 'squat']","[6, 6]",91.762,12,15,active,2025-09-30 15:21:57+00:00,2025-09-30 14:53:29+00:00,40.0,kilogram,5
,,,,90.374,13,,rest,2025-09-30 15:23:29+00:00,2025-09-30 14:53:29+00:00,,,6
8,"[255, 255]","['squat', 'squat']","[6, 6]",78.468,14,12,active,2025-09-30 15:25:00+00:00,2025-09-30 14:53:29+00:00,40.0,kilogram,5
,,,,90.653,15,,rest,2025-09-30 15:26:18+00:00,2025-09-30 14:53:29+00:00,,,6
9,"[255, 255]","['squat', 'squat']","[6, 6]",75.881,16,10,active,2025-09-30 15:27:49+00:00,2025-09-30 14:53:29+00:00,40.0,kilogram,5
,,,,90.387,17,,rest,2025-09-30 15:29:05+00:00,2025-09-30 14:53:29+00:00,,,6
10,"[255, 255]","['squat', 'squat']","[6, 6]",65.288,18,8,active,2025-09-30 15:30:35+00:00,2025-09-30 14:53:29+00:00,40.0,kilogram,5
,,,,143.529,19,,rest,2025-09-30 15:31:40+00:00,2025-09-30 14:53:29+00:00,,,6
11,"[255, 255]","['squat', 'squat']","[0, 0]",58.417,20,12,active,2025-09-30 15:34:04+00:00,2025-09-30 14:53:29+00:00,27.5,kilogram,8
,,,,60.446,21,,rest,2025-09-30 15:35:02+00:00,2025-09-30 14:53:29+00:00,,,9
12,"[255, 255]","['squat', 'squat']","[0, 0]",56.315,22,12,active,2025-09-30 15:36:03+00:00,2025-09-30 14:53:29+00:00,27.5,kilogram,8
,,,,60.24,23,,rest,2025-09-30 15:36:59+00:00,2025-09-30 14:53:29+00:00,,,9
13,"[255, 255]","['squat', 'squat']","[0, 0]",56.333,24,12,active,2025-09-30 15:37:59+00:00,2025-09-30 14:53:29+00:00,27.5,kilogram,8
,,,,90.442,25,,rest,2025-09-30 15:38:56+00:00,2025-09-30 14:53:29+00:00,,,9
14,"[255, 255]","['hip_stability', 'hip_stability']","[30, 30]",130.958,26,12,active,2025-09-30 15:40:26+00:00,2025-09-30 14:53:29+00:00,5.0,kilogram,11
,,,,45.619,27,,rest,2025-09-30 15:42:37+00:00,2025-09-30 14:53:29+00:00,,,12
15,"[255, 255]","['hip_stability', 'hip_stability']","[30, 30]",55.674,28,12,active,2025-09-30 15:43:23+00:00,2025-09-30 14:53:29+00:00,5.0,kilogram,11
,,,,45.58,29,,rest,2025-09-30 15:44:18+00:00,2025-09-30 14:53:29+00:00,,,12
16,"[255, 255]","['hip_stability', 'hip_stability']","[30, 30]",53.485,30,12,active,2025-09-30 15:45:04+00:00,2025-09-30 14:53:29+00:00,5.0,kilogram,11
,,,,70.394,31,,rest,2025-09-30 15:45:57+00:00,2025-09-30 14:53:29+00:00,,,12
17,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",600.0,32,,active,2025-09-30 15:47:08+00:00,2025-09-30 14:53:29+00:00,0.0,kilogram,14
18,"[255, 255]","['sit_up', 'sit_up']","[37, 37]",720.695,33,8,active,2025-09-30 15:57:08+00:00,2025-09-30 14:53:29+00:00,,kilogram,15
19,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",180.0,34,,active,2025-09-30 16:09:08+00:00,2025-09-30 14:53:29+00:00,0.0,kilogram,16
,,,,1.814,35,,rest,2025-09-30 16:12:08+00:00,2025-09-30 14:53:29+00:00,,,
