2,category,duration,message_index,repetitions,set_type,start_time,timestamp
"[255, None]","['unknown', 'curl']",36.555,0,0,active,2025-04-29 11:48:43+00:00,2025-04-29 11:48:43+00:00
,,6.724,1,,rest,2025-04-29 11:49:19+00:00,2025-04-29 11:48:43+00:00
"[255, None]","['unknown', 'curl']",18.31,2,8,active,2025-04-29 11:49:26+00:00,2025-04-29 11:48:43+00:00
,,6.342,3,,rest,2025-04-29 11:49:44+00:00,2025-04-29 11:48:43+00:00
"[255, None]","['unknown', 'curl']",324.781,4,8,active,2025-04-29 11:49:51+00:00,2025-04-29 11:48:43+00:00
,,63.507,5,,rest,2025-04-29 11:55:15+00:00,2025-04-29 11:48:43+00:00
"[170, 170]","['bench_press', 'shoulder_press']",86.281,6,10,active,2025-04-29 11:56:19+00:00,2025-04-29 11:48:43+00:00
,,59.692,7,,rest,2025-04-29 11:57:45+00:00,2025-04-29 11:48:43+00:00
"[212, 212]","['bench_press', 'shoulder_press']",86.037,8,10,active,2025-04-29 11:58:45+00:00,2025-04-29 11:48:43+00:00
,,65.228,9,,rest,2025-04-29 12:00:11+00:00,2025-04-29 11:48:43+00:00
"[255, 255]","['sit_up', 'crunch']",20.927,10,26,active,2025-04-29 12:01:16+00:00,2025-04-29 11:48:43+00:00
,,59.891,11,,rest,2025-04-29 12:01:37+00:00,2025-04-29 11:48:43+00:00
"[255, None]","['squat', 'unknown']",252.291,12,18,active,2025-04-29 12:02:37+00:00,2025-04-29 11:48:43+00:00
,,52.216,13,,rest,2025-04-29 12:06:49+00:00,2025-04-29 11:48:43+00:00
"[255, None]","['unknown', 'curl']",155.051,14,9,active,2025-04-29 12:07:41+00:00,2025-04-29 11:48:43+00:00
,,1.998,15,,rest,2025-04-29 12:10:17+00:00,2025-04-29 11:48:43+00:00
