107,135,136,143,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,timestamp
0,1,86,92,0.24,95.0,0.0,86,543600465,222663198,2025-07-14 04:38:33+00:00
1,1,87,92,1.48,96.79999999999995,1.073,87,543600646,222663184,2025-07-14 04:38:34+00:00
1,1,88,92,6.78,98.60000000000002,2.37,88,543601111,222662883,2025-07-14 04:38:36+00:00
1,1,89,92,9.04,97.79999999999995,2.547,89,543601335,222662770,2025-07-14 04:38:37+00:00
1,3,92,92,16.06,98.60000000000002,2.51,92,543602147,222662727,2025-07-14 04:38:40+00:00
1,5,94,92,18.59,99.0,2.678,94,543602336,222663046,2025-07-14 04:38:41+00:00
1,5,95,92,21.68,98.60000000000002,2.976,95,543602408,222663503,2025-07-14 04:38:42+00:00
1,2,98,92,27.93,98.60000000000002,3.518,98,543602418,222664442,2025-07-14 04:38:44+00:00
1,2,99,92,38.69,99.39999999999998,4.217,99,543602509,222666216,2025-07-14 04:38:47+00:00
1,2,102,92,57.63,98.60000000000002,3.732,102,543602570,222668976,2025-07-14 04:38:51+00:00
1,1,105,92,65.85,98.0,4.497,105,543602621,222670229,2025-07-14 04:38:53+00:00
1,1,106,92,69.92,97.39999999999998,4.143,106,543602684,222670818,2025-07-14 04:38:54+00:00
1,1,105,92,101.32,99.60000000000002,4.796,105,543602855,222675694,2025-07-14 04:39:01+00:00
1,1,108,92,121.14,100.20000000000005,5.123,108,543602931,222678723,2025-07-14 04:39:05+00:00
1,0,107,92,135.86,102.0,4.731,107,543603061,222680872,2025-07-14 04:39:08+00:00
1,0,107,92,145.07,102.20000000000005,5.029,107,543603124,222682260,2025-07-14 04:39:10+00:00
1,0,106,92,165.43,102.60000000000002,5.318,106,543603318,222685456,2025-07-14 04:39:14+00:00
1,0,106,92,187.05,103.20000000000005,5.02,106,543603329,222688644,2025-07-14 04:39:18+00:00
1,0,106,92,191.62,103.20000000000005,5.337,106,543603346,222689402,2025-07-14 04:39:19+00:00
1,0,106,92,224.43,102.60000000000002,5.374,106,543603224,222694443,2025-07-14 04:39:25+00:00
1,1,112,92,258.65,99.60000000000002,5.477,112,543603279,222699673,2025-07-14 04:39:31+00:00
1,1,113,92,264.56,100.0,5.897,113,543603268,222700589,2025-07-14 04:39:32+00:00
1,1,113,92,297.36,99.0,5.617,113,543603173,222705652,2025-07-14 04:39:38+00:00
1,2,112,92,302.82,98.79999999999995,4.899,112,543603032,222706426,2025-07-14 04:39:39+00:00
1,8,110,92,318.61,97.0,4.955,110,543602748,222708778,2025-07-14 04:39:42+00:00
1,8,110,92,323.97,97.79999999999995,4.964,110,543602634,222709526,2025-07-14 04:39:43+00:00
1,3,107,92,339.39,98.20000000000005,5.272,107,543602375,222711819,2025-07-14 04:39:46+00:00
1,2,109,92,354.32,100.39999999999998,5.412,109,543602099,222714114,2025-07-14 04:39:49+00:00
1,0,110,92,394.8,98.39999999999998,6.009,110,543601475,222720269,2025-07-14 04:39:56+00:00
1,0,109,92,434.71,100.60000000000002,5.123,109,543601079,222726277,2025-07-14 04:40:03+00:00
1,1,108,92,468.6,98.39999999999998,5.785,108,543600604,222731438,2025-07-14 04:40:09+00:00
1,0,108,92,509.17,99.60000000000002,5.552,108,543600015,222737623,2025-07-14 04:40:16+00:00
1,0,109,92,526.06,97.79999999999995,5.123,109,543599706,222740116,2025-07-14 04:40:19+00:00
