135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
2,61,63,24.0,15.0,61,2025-07-17 09:07:42+00:00
4,62,63,24.0,15.0,62,2025-07-17 09:07:43+00:00
4,62,63,24.0,15.0,62,2025-07-17 09:07:44+00:00
4,62,63,24.0,14.0,62,2025-07-17 09:07:45+00:00
11,61,63,24.0,14.0,61,2025-07-17 09:07:46+00:00
17,63,63,24.0,14.0,63,2025-07-17 09:07:47+00:00
20,64,63,24.0,14.0,64,2025-07-17 09:07:48+00:00
22,66,63,24.0,14.0,66,2025-07-17 09:07:49+00:00
13,67,63,24.0,14.0,67,2025-07-17 09:07:50+00:00
6,69,63,24.0,14.0,69,2025-07-17 09:07:51+00:00
5,70,63,24.0,14.0,70,2025-07-17 09:07:52+00:00
6,71,63,24.0,14.0,71,2025-07-17 09:07:53+00:00
6,71,63,24.0,14.0,71,2025-07-17 09:07:54+00:00
6,72,63,30.0,14.0,72,2025-07-17 09:07:55+00:00
6,72,63,30.0,14.0,72,2025-07-17 09:07:56+00:00
6,72,63,30.0,14.0,72,2025-07-17 09:07:57+00:00
6,72,63,30.0,14.0,72,2025-07-17 09:07:58+00:00
6,72,63,30.0,14.0,72,2025-07-17 09:07:59+00:00
27,73,63,30.0,14.0,73,2025-07-17 09:08:00+00:00
27,73,63,30.0,14.0,73,2025-07-17 09:08:01+00:00
32,75,63,30.0,14.0,75,2025-07-17 09:08:02+00:00
32,75,63,30.0,14.0,75,2025-07-17 09:08:03+00:00
28,79,63,30.0,14.0,79,2025-07-17 09:08:04+00:00
31,80,63,44.0,14.0,80,2025-07-17 09:08:05+00:00
35,81,63,44.0,14.0,81,2025-07-17 09:08:06+00:00
38,82,63,44.0,14.0,82,2025-07-17 09:08:07+00:00
38,82,63,44.0,14.0,82,2025-07-17 09:08:08+00:00
44,80,63,44.0,14.0,80,2025-07-17 09:08:09+00:00
38,76,63,63.0,14.0,76,2025-07-17 09:08:10+00:00
29,72,63,63.0,14.0,72,2025-07-17 09:08:11+00:00
30,71,63,63.0,14.0,71,2025-07-17 09:08:12+00:00
30,71,63,63.0,14.0,71,2025-07-17 09:08:13+00:00
30,71,63,63.0,14.0,71,2025-07-17 09:08:14+00:00
17,72,63,63.0,14.0,72,2025-07-17 09:08:15+00:00
12,73,63,63.0,14.0,73,2025-07-17 09:08:16+00:00
4,74,63,63.0,14.0,74,2025-07-17 09:08:17+00:00
