14,2,category,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, None]","['unknown', 'unknown']",113.577,0,4,active,2025-07-21 16:20:55+00:00,2025-07-21 16:20:55+00:00
,,,43.204,1,,rest,2025-07-21 16:22:49+00:00,2025-07-21 16:20:55+00:00
1,"[255, None]","['unknown', 'curl']",104.93,2,6,active,2025-07-21 16:23:32+00:00,2025-07-21 16:20:55+00:00
,,,41.728,3,,rest,2025-07-21 16:25:17+00:00,2025-07-21 16:20:55+00:00
2,"[255, None]","['unknown', 'curl']",112.025,4,6,active,2025-07-21 16:25:59+00:00,2025-07-21 16:20:55+00:00
,,,41.803,5,,rest,2025-07-21 16:27:51+00:00,2025-07-21 16:20:55+00:00
3,"[255, None]","['unknown', 'curl']",163.581,6,0,active,2025-07-21 16:28:32+00:00,2025-07-21 16:20:55+00:00
,,,91.415,7,,rest,2025-07-21 16:31:16+00:00,2025-07-21 16:20:55+00:00
4,"[255, 255]","['bench_press', 'shoulder_press']",183.233,8,7,active,2025-07-21 16:32:47+00:00,2025-07-21 16:20:55+00:00
,,,68.469,9,,rest,2025-07-21 16:35:51+00:00,2025-07-21 16:20:55+00:00
