14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, 255]","['push_up', 'triceps_extension']","[None, 0]",140.516,0,8,active,2025-08-20 08:33:52+00:00,2025-08-20 08:33:52+00:00
,,,,40.31,1,,rest,2025-08-20 08:36:13+00:00,2025-08-20 08:33:52+00:00
1,"[255, None]","['unknown', 'curl']",,140.97,2,8,active,2025-08-20 08:36:53+00:00,2025-08-20 08:33:52+00:00
,,,,44.224,3,,rest,2025-08-20 08:39:14+00:00,2025-08-20 08:33:52+00:00
2,"[255, None]","['unknown', 'curl']",,139.119,4,8,active,2025-08-20 08:39:58+00:00,2025-08-20 08:33:52+00:00
,,,,40.594,5,,rest,2025-08-20 08:42:17+00:00,2025-08-20 08:33:52+00:00
3,"[212, 42]","['squat', 'unknown']",,125.112,6,20,active,2025-08-20 08:42:58+00:00,2025-08-20 08:33:52+00:00
,,,,60.554,7,,rest,2025-08-20 08:45:03+00:00,2025-08-20 08:33:52+00:00
4,"[255, None]","['unknown', 'curl']",,108.998,8,20,active,2025-08-20 08:46:03+00:00,2025-08-20 08:33:52+00:00
,,,,60.533,9,,rest,2025-08-20 08:47:52+00:00,2025-08-20 08:33:52+00:00
5,"[170, 85]","['squat', 'unknown']",,110.942,10,20,active,2025-08-20 08:48:53+00:00,2025-08-20 08:33:52+00:00
,,,,60.433,11,,rest,2025-08-20 08:50:44+00:00,2025-08-20 08:33:52+00:00
6,"[255, None]","['unknown', 'curl']",,157.116,12,24,active,2025-08-20 08:51:44+00:00,2025-08-20 08:33:52+00:00
,,,,60.575,13,,rest,2025-08-20 08:54:21+00:00,2025-08-20 08:33:52+00:00
7,"[170, 85]","['squat', 'unknown']",,144.799,14,24,active,2025-08-20 08:55:22+00:00,2025-08-20 08:33:52+00:00
,,,,60.705,15,,rest,2025-08-20 08:57:47+00:00,2025-08-20 08:33:52+00:00
8,"[212, 42]","['squat', 'unknown']",,140.582,16,24,active,2025-08-20 08:58:48+00:00,2025-08-20 08:33:52+00:00
,,,,3.074,17,,rest,2025-08-20 09:01:08+00:00,2025-08-20 08:33:52+00:00
