107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,24,80,63,0,0.0,1.69,88.39999999999998,1.549,0.0,80,543622406,222665215,2025-08-26 16:01:46+00:00
1,21,79,63,0,0.0,12.03,89.39999999999998,2.594,0.0,79,543623171,222666289,2025-08-26 16:01:50+00:00
1,24,84,63,81,0.0,18.7,89.0,2.473,0.5,84,543623692,222667101,2025-08-26 16:01:53+00:00
1,20,86,63,82,2.53,26.85,89.20000000000005,2.603,0.5,86,543624414,222667786,2025-08-26 16:01:56+00:00
1,29,88,62,84,2.53,38.34,88.39999999999998,2.818,0.5,88,543625332,222668982,2025-08-26 16:02:00+00:00
1,30,93,62,84,2.53,43.77,88.0,2.855,0.5,93,543625752,222669528,2025-08-26 16:02:02+00:00
1,30,98,62,83,2.53,49.35,88.0,2.809,0.0,98,543626191,222670015,2025-08-26 16:02:04+00:00
1,31,100,62,83,2.53,52.38,88.20000000000005,2.809,0.5,100,543626431,222670417,2025-08-26 16:02:05+00:00
1,30,103,62,84,2.53,55.07,88.20000000000005,2.809,0.5,103,543626657,222670569,2025-08-26 16:02:06+00:00
1,13,114,62,84,2.53,63.11,88.0,2.809,0.5,114,543627360,222671354,2025-08-26 16:02:09+00:00
1,5,119,62,84,2.53,67.84,88.0,2.79,0.5,119,543627745,222671864,2025-08-26 16:02:11+00:00
1,4,121,62,84,2.53,76.07,87.79999999999995,2.715,0.5,121,543628452,222672741,2025-08-26 16:02:14+00:00
1,0,121,62,86,2.53,88.42,88.0,2.771,0.0,121,543629431,222673778,2025-08-26 16:02:18+00:00
1,1,122,62,85,2.53,93.69,88.79999999999995,2.837,0.0,122,543629885,222674273,2025-08-26 16:02:20+00:00
1,1,122,62,85,2.53,97.26,89.0,2.837,0.0,122,543630219,222674652,2025-08-26 16:02:21+00:00
1,1,124,62,85,2.53,105.76,89.20000000000005,2.855,0.5,124,543630881,222675434,2025-08-26 16:02:24+00:00
1,1,127,62,85,2.53,110.9,89.79999999999995,2.837,0.5,127,543631260,222675970,2025-08-26 16:02:26+00:00
1,1,127,62,85,2.53,112.98,90.39999999999998,2.827,0.0,127,543631413,222676082,2025-08-26 16:02:27+00:00
1,1,129,62,86,2.53,122.7,90.39999999999998,2.734,0.0,129,543632164,222677224,2025-08-26 16:02:31+00:00
1,1,132,62,82,2.53,131.97,90.39999999999998,2.706,0.5,132,543632804,222678167,2025-08-26 16:02:35+00:00
1,1,134,62,83,2.53,139.09,90.20000000000005,2.622,0.5,134,543633424,222678914,2025-08-26 16:02:38+00:00
1,1,136,62,82,2.53,150.03,91.0,2.603,0.5,136,543634231,222680239,2025-08-26 16:02:42+00:00
1,1,136,62,85,2.53,161.16,91.20000000000005,2.603,0.0,136,543634917,222681698,2025-08-26 16:02:46+00:00
1,1,136,62,84,2.53,169.75,91.39999999999998,2.65,0.5,136,543634877,222682917,2025-08-26 16:02:49+00:00
1,1,136,62,87,2.53,183.45,92.60000000000002,2.687,0.0,136,543634177,222684665,2025-08-26 16:02:54+00:00
1,1,136,62,86,2.53,197.55,92.60000000000002,2.697,0.0,136,543633467,222686550,2025-08-26 16:02:59+00:00
1,2,139,62,87,2.53,208.81,92.0,2.725,0.0,139,543632966,222688178,2025-08-26 16:03:03+00:00
1,1,140,62,86,2.53,219.83,92.0,2.743,0.0,140,543632457,222689623,2025-08-26 16:03:07+00:00
1,1,142,62,86,2.53,229.86,91.39999999999998,2.725,0.0,142,543632084,222691142,2025-08-26 16:03:11+00:00
1,1,141,62,87,2.53,246.62,92.0,2.725,0.0,141,543631614,222693504,2025-08-26 16:03:17+00:00
1,1,142,62,86,2.53,259.11,92.39999999999998,2.706,0.0,142,543631195,222695382,2025-08-26 16:03:22+00:00
1,4,144,62,87,2.53,271.48,92.60000000000002,2.706,0.0,144,543630720,222697113,2025-08-26 16:03:26+00:00
1,4,144,62,87,2.53,284.64,92.0,2.725,0.0,144,543630234,222698946,2025-08-26 16:03:31+00:00
1,4,144,62,86,2.53,292.62,91.60000000000002,2.715,0.0,144,543629892,222700150,2025-08-26 16:03:34+00:00
1,2,144,62,86,2.53,307.41,91.0,2.725,0.0,144,543629143,222702125,2025-08-26 16:03:39+00:00
1,2,144,62,86,2.53,318.22,91.0,2.734,0.0,144,543628719,222703627,2025-08-26 16:03:43+00:00
1,2,145,62,87,2.53,328.56,90.60000000000002,2.734,0.0,145,543628391,222705132,2025-08-26 16:03:47+00:00
1,3,146,62,86,2.53,340.55,91.60000000000002,2.734,0.0,146,543627982,222706835,2025-08-26 16:03:51+00:00
1,4,147,62,88,2.53,352.26,91.39999999999998,2.762,0.0,147,543627471,222708483,2025-08-26 16:03:55+00:00
1,2,147,62,86,2.53,365.64,91.79999999999995,2.771,0.0,147,543626929,222710312,2025-08-26 16:04:00+00:00
1,3,146,62,88,2.53,373.56,90.39999999999998,2.762,0.0,146,543626556,222711464,2025-08-26 16:04:03+00:00
1,1,146,62,87,2.53,390.06,89.60000000000002,2.743,0.0,146,543625934,222713799,2025-08-26 16:04:09+00:00
1,2,147,62,87,2.53,398.64,88.79999999999995,2.762,0.0,147,543625632,222715056,2025-08-26 16:04:12+00:00
1,4,147,62,88,2.53,411.64,89.0,2.753,0.0,147,543625058,222716924,2025-08-26 16:04:17+00:00
1,2,147,62,87,2.53,422.92,88.39999999999998,2.743,0.0,147,543624654,222718532,2025-08-26 16:04:21+00:00
1,3,148,62,87,2.53,433.53,87.79999999999995,2.743,0.0,148,543624413,222720021,2025-08-26 16:04:25+00:00
1,3,148,62,87,2.53,441.62,87.39999999999998,2.743,0.0,148,543623977,222721191,2025-08-26 16:04:28+00:00
1,2,149,62,86,2.53,449.87,86.39999999999998,2.734,0.5,149,543623686,222722338,2025-08-26 16:04:31+00:00
1,2,148,62,87,2.53,466.42,86.60000000000002,2.743,0.0,148,543622959,222724691,2025-08-26 16:04:37+00:00
1,1,147,62,87,2.53,474.91,87.0,2.743,0.0,147,543622849,222725946,2025-08-26 16:04:40+00:00
1,1,147,62,88,2.53,486.38,87.39999999999998,2.771,0.0,147,543622956,222727696,2025-08-26 16:04:44+00:00
1,1,147,62,87,2.53,494.27,87.39999999999998,2.771,0.0,147,543622993,222728860,2025-08-26 16:04:47+00:00
1,1,146,62,87,2.53,503.27,87.39999999999998,2.762,0.0,146,543622882,222730218,2025-08-26 16:04:50+00:00
1,1,146,62,87,2.53,516.44,87.79999999999995,2.771,0.0,146,543622485,222732212,2025-08-26 16:04:55+00:00
1,1,147,62,88,2.53,527.3,88.20000000000005,2.753,0.0,147,543622358,222733897,2025-08-26 16:04:59+00:00
1,1,147,62,87,2.53,535.89,88.0,2.753,0.5,147,543622360,222735169,2025-08-26 16:05:02+00:00
1,2,148,62,87,2.53,549.36,88.60000000000002,2.762,0.0,148,543622071,222737110,2025-08-26 16:05:07+00:00
1,1,147,62,87,2.53,559.45,88.20000000000005,2.734,0.0,147,543621948,222738744,2025-08-26 16:05:11+00:00
1,1,148,62,87,2.53,574.8,88.20000000000005,2.753,0.0,148,543621647,222740914,2025-08-26 16:05:16+00:00
1,1,148,62,86,2.53,577.45,88.0,2.753,0.5,148,543621379,222741228,2025-08-26 16:05:17+00:00
1,2,147,62,88,2.53,582.57,88.60000000000002,2.762,0.0,147,543620852,222741669,2025-08-26 16:05:19+00:00
1,2,148,62,88,2.53,585.17,88.79999999999995,2.753,0.0,148,543620627,222741870,2025-08-26 16:05:20+00:00
1,2,147,62,86,2.53,598.37,89.0,2.781,0.0,147,543619507,222743166,2025-08-26 16:05:24+00:00
1,1,148,62,87,2.53,609.86,88.79999999999995,2.818,0.0,148,543618703,222744464,2025-08-26 16:05:28+00:00
1,1,148,62,87,2.53,617.41,88.39999999999998,2.809,0.0,148,543618506,222745569,2025-08-26 16:05:31+00:00
1,1,148,62,88,2.53,631.14,88.0,2.799,0.0,148,543617955,222747505,2025-08-26 16:05:36+00:00
1,1,149,62,87,2.53,642.03,87.79999999999995,2.79,0.0,149,543617472,222748986,2025-08-26 16:05:40+00:00
1,2,150,62,87,2.53,657.51,88.60000000000002,2.762,0.0,150,543616733,222751204,2025-08-26 16:05:46+00:00
1,2,150,62,86,2.53,665.25,89.39999999999998,2.753,0.0,150,543616424,222752284,2025-08-26 16:05:49+00:00
1,1,150,62,88,2.53,677.25,89.39999999999998,2.762,0.0,150,543615932,222753960,2025-08-26 16:05:53+00:00
1,1,149,62,87,2.53,691.21,89.39999999999998,2.771,0.0,149,543615352,222755892,2025-08-26 16:05:58+00:00
1,1,149,62,88,2.53,702.97,89.39999999999998,2.771,0.0,149,543614811,222757492,2025-08-26 16:06:02+00:00
1,1,150,62,88,2.53,717.15,89.60000000000002,2.79,0.5,150,543614084,222759422,2025-08-26 16:06:07+00:00
1,1,149,62,87,2.53,728.35,89.60000000000002,2.799,0.0,149,543613619,222760954,2025-08-26 16:06:11+00:00
1,1,150,62,88,2.53,739.56,89.20000000000005,2.799,0.0,150,543613228,222762600,2025-08-26 16:06:15+00:00
1,1,151,62,87,2.53,750.87,89.60000000000002,2.79,0.0,151,543612657,222764176,2025-08-26 16:06:19+00:00
1,1,151,62,87,2.53,759.25,89.39999999999998,2.799,0.5,151,543612327,222765291,2025-08-26 16:06:22+00:00
1,1,151,62,87,2.53,774.16,88.79999999999995,2.818,0.0,151,543611822,222767418,2025-08-26 16:06:27+00:00
1,1,151,62,87,2.53,782.89,88.79999999999995,2.818,0.0,151,543611362,222768668,2025-08-26 16:06:30+00:00
1,1,151,62,87,2.53,791.44,88.39999999999998,2.837,0.0,151,543611016,222769846,2025-08-26 16:06:33+00:00
1,1,152,62,86,2.53,806.17,89.0,2.846,0.0,152,543610323,222771825,2025-08-26 16:06:38+00:00
1,1,153,62,87,2.53,818.29,87.79999999999995,2.865,0.0,153,543609820,222773461,2025-08-26 16:06:42+00:00
1,1,153,62,88,2.53,831.69,87.39999999999998,2.865,0.0,153,543609271,222775388,2025-08-26 16:06:47+00:00
1,1,154,62,88,2.53,842.69,87.0,2.846,0.0,154,543608875,222776981,2025-08-26 16:06:51+00:00
1,1,153,62,88,2.53,857.15,87.0,2.883,0.0,153,543608403,222779026,2025-08-26 16:06:56+00:00
1,1,154,61,86,2.53,868.07,86.60000000000002,2.855,0.0,154,543607951,222780560,2025-08-26 16:07:00+00:00
1,1,154,61,88,2.53,879.6,85.79999999999995,2.846,0.0,154,543607430,222782214,2025-08-26 16:07:04+00:00
1,1,153,61,87,2.53,891.15,86.39999999999998,2.855,0.0,153,543606899,222783804,2025-08-26 16:07:08+00:00
1,1,154,61,88,2.53,905.2,86.60000000000002,2.865,0.0,154,543606417,222785821,2025-08-26 16:07:13+00:00
1,1,153,61,87,2.53,917.93,87.20000000000005,2.837,0.0,153,543605940,222787642,2025-08-26 16:07:18+00:00
1,2,153,61,88,2.53,929.63,88.0,2.827,0.0,153,543605559,222789350,2025-08-26 16:07:22+00:00
1,2,153,61,86,2.53,941.4,88.60000000000002,2.827,0.0,153,543605062,222791019,2025-08-26 16:07:26+00:00
1,2,154,61,87,2.53,953.23,89.0,2.837,0.0,154,543604536,222792672,2025-08-26 16:07:30+00:00
1,1,155,61,87,2.53,964.59,88.79999999999995,2.846,0.0,155,543604052,222794235,2025-08-26 16:07:34+00:00
1,1,154,61,87,2.53,975.85,89.20000000000005,2.846,0.0,154,543603543,222795740,2025-08-26 16:07:38+00:00
1,1,154,61,87,2.53,987.18,89.20000000000005,2.846,0.0,154,543603159,222797415,2025-08-26 16:07:42+00:00
1,2,153,61,87,2.53,1001.78,88.20000000000005,2.865,0.0,153,543602705,222799466,2025-08-26 16:07:47+00:00
1,2,154,61,86,2.53,1004.57,88.0,2.865,0.5,154,543602565,222799922,2025-08-26 16:07:48+00:00
1,2,154,61,87,2.53,1009.57,87.79999999999995,2.855,0.5,154,543602406,222800634,2025-08-26 16:07:50+00:00
