107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,1,162,41,0,0.0,0.0,88.79999999999995,0.0,0.0,162,543567685,223104724,2025-09-05 16:52:26+00:00
1,1,162,41,0,0.0,0.34,88.79999999999995,0.0,0.0,162,543567690,223104833,2025-09-05 16:52:27+00:00
1,2,160,41,0,0.0,8.45,88.0,0.0,0.0,160,543568073,223103762,2025-09-05 16:52:34+00:00
1,2,157,41,62,0.06,17.74,87.79999999999995,1.54,0.0,157,543568693,223102581,2025-09-05 16:52:40+00:00
1,1,154,41,62,0.06,22.51,88.20000000000005,1.577,0.5,154,543568951,223101978,2025-09-05 16:52:43+00:00
1,1,151,41,62,0.06,25.68,88.60000000000002,1.577,0.5,151,543569141,223101573,2025-09-05 16:52:45+00:00
1,1,152,41,62,0.06,34.39,88.20000000000005,1.512,0.5,152,543569643,223100440,2025-09-05 16:52:51+00:00
1,1,149,41,60,0.06,38.98,88.0,1.53,0.0,149,543569903,223099871,2025-09-05 16:52:54+00:00
1,0,146,41,62,0.06,43.96,87.79999999999995,1.549,0.5,146,543570152,223099194,2025-09-05 16:52:57+00:00
1,1,145,41,62,0.06,47.33,88.0,1.549,0.5,145,543570361,223098763,2025-09-05 16:52:59+00:00
1,2,143,41,62,,60.24,87.20000000000005,1.68,0.5,143,543571075,223097066,2025-09-05 16:53:07+00:00
1,2,146,41,62,,66.38,87.0,1.558,0.5,146,543571477,223096272,2025-09-05 16:53:12+00:00
1,1,147,41,62,,67.94,87.0,1.549,0.5,147,543571548,223096052,2025-09-05 16:53:13+00:00
1,0,144,41,62,,82.09,86.60000000000002,1.53,0.5,144,543572286,223094207,2025-09-05 16:53:22+00:00
1,1,142,41,62,,84.04,86.60000000000002,1.53,0.5,142,543572387,223093966,2025-09-05 16:53:23+00:00
1,0,140,41,64,,99.14,86.79999999999995,1.521,0.0,140,543573305,223092073,2025-09-05 16:53:33+00:00
1,3,137,41,64,,105.88,87.39999999999998,1.521,0.5,137,543573728,223091252,2025-09-05 16:53:38+00:00
1,1,135,41,62,,115.23,87.20000000000005,1.493,0.5,135,543574275,223089980,2025-09-05 16:53:45+00:00
