14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
0,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",300.0,0,,active,2025-10-07 15:21:49+00:00,2025-10-07 15:21:49+00:00,0.0,kilogram,0
1,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",198.12,1,,active,2025-10-07 15:26:49+00:00,2025-10-07 15:21:49+00:00,0.0,kilogram,1
2,"[255, 255]","['lunge', 'lunge']","[82, 82]",102.513,2,10,active,2025-10-07 15:30:07+00:00,2025-10-07 15:21:49+00:00,7.5,kilogram,2
,,,,60.493,3,,rest,2025-10-07 15:31:50+00:00,2025-10-07 15:21:49+00:00,,,3
3,"[255, 255]","['lunge', 'lunge']","[82, 82]",98.267,4,10,active,2025-10-07 15:32:50+00:00,2025-10-07 15:21:49+00:00,7.5,kilogram,2
,,,,60.323,5,,rest,2025-10-07 15:34:28+00:00,2025-10-07 15:21:49+00:00,,,3
4,"[255, 255]","['lunge', 'lunge']","[82, 82]",98.644,6,10,active,2025-10-07 15:35:29+00:00,2025-10-07 15:21:49+00:00,7.5,kilogram,2
,,,,60.861,7,,rest,2025-10-07 15:37:07+00:00,2025-10-07 15:21:49+00:00,,,3
5,"[255, 255]","['squat', 'squat']","[37, 37]",68.508,8,12,active,2025-10-07 15:38:08+00:00,2025-10-07 15:21:49+00:00,7.5,kilogram,5
,,,,60.48,9,,rest,2025-10-07 15:39:17+00:00,2025-10-07 15:21:49+00:00,,,6
6,"[255, 255]","['squat', 'squat']","[37, 37]",67.685,10,12,active,2025-10-07 15:40:17+00:00,2025-10-07 15:21:49+00:00,7.5,kilogram,5
,,,,60.546,11,,rest,2025-10-07 15:41:25+00:00,2025-10-07 15:21:49+00:00,,,6
7,"[255, 255]","['squat', 'squat']","[37, 37]",68.586,12,12,active,2025-10-07 15:42:26+00:00,2025-10-07 15:21:49+00:00,7.5,kilogram,5
,,,,133.84,13,,rest,2025-10-07 15:43:34+00:00,2025-10-07 15:21:49+00:00,,,6
8,"[255, 255]","['squat', 'squat']","[0, 0]",76.271,14,10,active,2025-10-07 15:45:48+00:00,2025-10-07 15:21:49+00:00,35.0,kilogram,8
,,,,60.685,15,,rest,2025-10-07 15:47:04+00:00,2025-10-07 15:21:49+00:00,,,9
9,"[255, 255]","['squat', 'squat']","[0, 0]",57.878,16,10,active,2025-10-07 15:48:05+00:00,2025-10-07 15:21:49+00:00,42.5,kilogram,8
,,,,60.271,17,,rest,2025-10-07 15:49:03+00:00,2025-10-07 15:21:49+00:00,,,9
10,"[255, 255]","['squat', 'squat']","[0, 0]",47.685,18,10,active,2025-10-07 15:50:03+00:00,2025-10-07 15:21:49+00:00,42.5,kilogram,8
,,,,60.602,19,,rest,2025-10-07 15:50:51+00:00,2025-10-07 15:21:49+00:00,,,9
11,"[255, 255]","['squat', 'squat']","[0, 0]",44.826,20,10,active,2025-10-07 15:51:51+00:00,2025-10-07 15:21:49+00:00,42.5,kilogram,8
,,,,110.619,21,,rest,2025-10-07 15:52:36+00:00,2025-10-07 15:21:49+00:00,,,9
12,"[255, 255]","['crunch', 'crunch']","[33, 33]",54.062,22,12,active,2025-10-07 15:54:27+00:00,2025-10-07 15:21:49+00:00,37.5,kilogram,11
,,,,60.408,23,,rest,2025-10-07 15:55:21+00:00,2025-10-07 15:21:49+00:00,,,12
13,"[255, 255]","['crunch', 'crunch']","[33, 33]",47.594,24,12,active,2025-10-07 15:56:21+00:00,2025-10-07 15:21:49+00:00,37.5,kilogram,11
,,,,60.558,25,,rest,2025-10-07 15:57:09+00:00,2025-10-07 15:21:49+00:00,,,12
14,"[255, 255]","['crunch', 'crunch']","[33, 33]",55.777,26,12,active,2025-10-07 15:58:09+00:00,2025-10-07 15:21:49+00:00,37.5,kilogram,11
,,,,180.362,27,,rest,2025-10-07 15:59:05+00:00,2025-10-07 15:21:49+00:00,,,12
15,"[255, 255]","['hyperextension', 'hyperextension']",,71.437,28,12,active,2025-10-07 16:02:06+00:00,2025-10-07 15:21:49+00:00,5.0,kilogram,14
,,,,60.397,29,,rest,2025-10-07 16:03:17+00:00,2025-10-07 15:21:49+00:00,,,15
16,"[255, 255]","['hyperextension', 'hyperextension']",,71.95,30,12,active,2025-10-07 16:04:17+00:00,2025-10-07 15:21:49+00:00,5.0,kilogram,14
,,,,60.326,31,,rest,2025-10-07 16:05:29+00:00,2025-10-07 15:21:49+00:00,,,15
17,"[255, 255]","['hyperextension', 'hyperextension']",,63.46,32,12,active,2025-10-07 16:06:30+00:00,2025-10-07 15:21:49+00:00,5.0,kilogram,14
,,,,130.535,33,,rest,2025-10-07 16:07:33+00:00,2025-10-07 15:21:49+00:00,,,15
18,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",600.0,34,,active,2025-10-07 16:09:44+00:00,2025-10-07 15:21:49+00:00,0.0,kilogram,17
19,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",180.0,35,,active,2025-10-07 16:19:44+00:00,2025-10-07 15:21:49+00:00,0.0,kilogram,18
,,,,30.786,36,,rest,2025-10-07 16:22:44+00:00,2025-10-07 15:21:49+00:00,,,
